video_id,title,description,published_at,tags,hashtags,duration,view_count,like_count,comment_count
Gztc4_zzVvc,This Kitten is SO Funny (and Cute!),You can't beat crazy kitten energy!!  🐱 Find me here...  • https://www.facebook.com/CatManChrisPoole • https://www.instagram.com/catmanchrispoole • https://www.tiktok.com/@catmanchrispoole  #FunnyKitten #CuteKittens #CatManChris,2025-11-12T20:35:37Z,Funny Kitten|Crazy Kitten|kittens playing|cute kitten|kittens,#FunnyKitten|#CuteKittens|#CatManChris,PT1M34S,14662,2433,186
L50kwzf1e38,Tiny Kittens Meowing Compilation - Sounds to Attract Cats,You can attract your cats with meows from other cats... this is also a good video to use if you're trying to trap cats or kittens as well!  Thanks as always fur the support!!  🐱 Find me here...  • https://www.facebook.com/CatManChrisPoole • https://www.instagram.com/catmanchrispoole • https://www.tiktok.com/@UC6VzUf8LyXxOz2ZkQP8_uhw   #KittenMeows #CatSounds #SoundsToAttractCats #meow,2025-11-05T15:29:14Z,CAT MEOWS|KITTEN MEOWS|CAT SOUNDS|TINY KITTENS|MEOW|PURR|cats|kittens|lonely kitten|abandoned kitten|sounds to attract cats|Cat Man Chris,#KittenMeows|#CatSounds|#SoundsToAttractCats|#meow,PT1M55S,75538,1605,102
1DxZ7HDQ7Ic,We All Purr Down Here! 🎈,"Sorry folks, Pennywise got me good with this trick! 🎈  🐱 Find me here...  • https://www.facebook.com/CatManChrisPoole • https://www.instagram.com/catmanchrispoole • https://www.tiktok.com/@catmanchrispoole  #WelcomeToDerry #pennywise #IT #StephenKing #Clown #CatManChris",2025-10-31T13:37:20Z,halloween|pennywise|clown|stephen king|kittens|welcome to derry|IT|cats|cat man chris|kitten rescue|candy,#WelcomeToDerry|#pennywise|#IT|#StephenKing|#Clown|#CatManChris,PT49S,13866,2627,133
mG-Q1BkLBdk,Injured White Cat is Trapped and Heals with Love,I'm so glad we were able to get Trooper off the streets and into a sanctuary where he can heal and hopefully find a home! ❤️‍🩹  🐱 Find me here...  • https://www.facebook.com/CatManChrisPoole • https://www.instagram.com/catmanchrispoole • https://www.tiktok.com/@catmanchrispoole  #CatRescue #CatManChris #Cats,2025-10-18T15:31:28Z,flame point siamese|siamese cat|neck injury|cat rescue|animal rescue|cats|Cat Man Chris|abandoned cat|cat needs help,#CatRescue|#CatManChris|#Cats,PT2M14S,15474,3123,266
i0Yl0_AEXj8,Pumpkin Spice Kitten!,"This little guy was a spicy nugget!  SO many ginger kittens in this rescue location, all of them were caught and all of their parents were spayed and neutered it was a BIG effort... stay tuned fur the full vid!  Thanks as always fur the support!!  🐱 Find me here...  • https://www.facebook.com/CatManChrisPoole • https://www.instagram.com/catmanchrispoole • https://www.tiktok.com/@UC6VzUf8LyXxOz2ZkQP8_uhw   #AngryKitten #GingerKitten #KittenRescue",2025-10-12T19:15:16Z,tiny kitten|ginger kitten|kitten rescue|spicy kitten|kitten hiss|angry kitten|hangry kitten|kitten roar|kitten meow|ginger cats|Cat Man Chris,#AngryKitten|#GingerKitten|#KittenRescue,PT57S,12892,2745,215
N-9dcY38lnI,Cute Kitten Meows Sound Like a Frog,The meow evolution!  🐱 Find me here...  • https://www.facebook.com/CatManChrisPoole • https://www.instagram.com/catmanchrispoole • https://www.tiktok.com/@catmanchrispoole  #kittensounds #meow #kitten #catmanchris,2025-09-25T17:04:24Z,kitten meow|meow|kitten|kitten sounds|cute kitten|purr|weird meow|tiny kitten|abandoned kitten|found kitten|lonely kitten|cat man chris,#kittensounds|#meow|#kitten|#catmanchris,PT1M21S,20049,3103,163
SmsF3BXz8rA,Abandoned Siamese Polydactyl Cat Has Paws as Big as His Heart!,"Valentino was such a lovely cat, I have no idea why someone would abandon this guy!?!?  🐱 Find me here...  • https://www.facebook.com/CatManChrisPoole • https://www.instagram.com/catmanchrispoole • https://www.tiktok.com/@UC6VzUf8LyXxOz2ZkQP8_uhw   #PolydactylCat #SiameseCat #AbandonedCat",2025-09-20T20:50:10Z,abandoned cat|siamese cat|polydactyl cat|big paws|cat rescue|cat man chris|cats|cat|cute cat|cat thanks human|cat saved,#PolydactylCat|#SiameseCat|#AbandonedCat,PT3M50S,39538,6336,463
uZepgMcEiLM,Kittens with Crusted Shut Eyes Rescued | Cat Man Chris,"This was a quick sick kitten grab to get them safe and stabilized before going to a foster that night…  little Clawdia was very crusty, but recovered beautifully… *The Momma cat was also spayed 👍🖤   🐱 Find me here...  • https://www.facebook.com/CatManChrisPoole • https://www.instagram.com/catmanchrispoole • https://www.tiktok.com/@catmanchrispoole   #KittenRescue #SickKittens #CatManChris",2025-09-11T16:20:05Z,abandoned kittens|kitten rescue|kitten needs help|kittens|cat man chris,#KittenRescue|#SickKittens|#CatManChris,PT2M17S,14608,2978,193
LKIPS5RJrkE,2 Cute Kittens Meet for the First Time 💜,"I snagged these lil nuggets today from two different streets in the same trailer park... the grey white was in a car engine and the tuxedo appeared at a home who feeds ferals along with probably is Mom who looked siamese to the elderly gent, but she hasn't been seen since.  The kittens aren't feral so I think they may have been living indoors, we're doing our detective work!  Trying out a new camera and thought these two playing and working each other out was cute, hope you enjoy it too... maybe they are from the same litter, who knows...?  🐱 Find me here...  • https://www.facebook.com/CatManChrisPoole • https://www.instagram.com/catmanchrispoole • https://www.tiktok.com/@catmanchrispoole  #CuteKittens #KittensMeeting #Kittens",2025-09-07T20:15:41Z,cute kittens|kittens meet|first time kittens|kittens|kittens playing|kittens fight|cute|cat man chris,#CuteKittens|#KittensMeeting|#Kittens,PT5M40S,19820,3616,291
jPG8p_Rnu6o,Tiny Orange Kitten Sleeping in My Hoodie Pouch!,Meet POTATO the kitten... full video coming soon! 🥔  🐱 Find me here...  • https://www.facebook.com/CatManChrisPoole • https://www.instagram.com/catmanchrispoole • https://www.tiktok.com/@catmanchrispoole  #GingerCatAppreciationDay #TinyKitten #CatManChris,2025-09-01T15:21:47Z,orange kitten|ginger kitten|cat man chris|cats|kitten|kitten meow|sleepy kitten|cutest kitten|kitten rescue,#GingerCatAppreciationDay|#TinyKitten|#CatManChris,PT32S,22648,2741,166
