video_id,title,description,published_at,tags,hashtags,duration,view_count,like_count,comment_count
-ZYGzLfi0rY,The Most Polite Cats In The World !,"Dad has breakfast time. But then there are cats nearby who also wanted to have breakfast with their dad. And they didn't make a single meow, but they very politely asked in turn with their paws. They are definitely the most polite cats in the world!  📩 For any questions, e-mail: catpusic@gmail.com  ► Instagram: https://www.instagram.com/catpusic/ ► Facebook: https://www.facebook.com/catpusic  #cat #cats #world",2025-12-05T14:30:00Z,catpusic|catpusic team|the cat pusic|mila and pusic|polite cats|breakfast time|dad and cats|cute cat behavior|silent meowing|cat manners|family breakfast|cats and food|adorable pets|funny cat videos,#cat|#cats|#world,PT2M59S,12519,1640,175
1m3kC_tShrc,Cats and TIC TAC TOE,"Our smart cats have learned how to play tic-tac-toe and now they are trying to play this game with people. You and I will just have to watch how they can do it.  How long did it take us to train them? To be honest, they learned very quickly, literally in 2 minutes. When the device makes a sound after pressing them, we give them treats and they have already understood the essence of this game.  📩 For any questions, e-mail: catpusic@gmail.com  ► Instagram: https://www.instagram.com/catpusic/ ► Facebook: https://www.facebook.com/catpusic  #cat #tictactoe #cats",2025-11-15T15:00:04Z,tic-tac-toe|cats and tic tac toe|tic tac toe|catpusic|catpusic team|cat pusic|mila pusic|game cat|cat challenge|Cats and TIC TAC TOE. Reality|cat tic-tac-toe,#cat|#tictactoe|#cats,PT2M4S,38751,995,84
dQinQ90VIC0,Сats Built a Lego Cat in 5 days,"It took us five days and two cats to build a Lego cat. Together, we managed to create a large cat figure from small Lego pieces. The Lego cat looks very similar to our cat, Pusic. What do you think? Let us know in the comments.  📌 If you want to support the channel and make a donation,  here is the link: https://www.donationalerts.com/r/catpusicteam There you can choose a currency that is convenient for you  📩 For any questions, e-mail: catpusic@gmail.com  ► Instagram: https://www.instagram.com/catpusic/ ► Facebook: https://www.facebook.com/catpusic  #cat #lego #cats",2025-11-08T14:30:29Z,lego|lego cat|cat tuxedo|catpusic|catpusic team|cat pusic|cat mila|Lego Cat Chronicles|Cat Lego|Сats Built a Lego Cat in 5 days|cat challenge|challenge|LegoCatChallenge|CuteCats|LegoAnimals|CatLegoBuild|LegoBuilding,#cat|#lego|#cats,PT8M10S,69307,1595,147
TDvA8wObQQA,Why Is She Stuck Preparing To Jump?,"Ever wondered why your feline friend seems to take ages preparing for a jump, only to hesitate at the last moment? In this intriguing video, we explore the quirky behaviors of cats, dissecting their unique thought processes, instinctual hesitations, and the role of their anatomy in those suspenseful moments. Join us as we unveil the science behind their antics and celebrate the charm of our four-legged companions!  📌 If you want to support the channel and make a donation,  here is the link: https://www.donationalerts.com/r/catpusicteam There you can choose a currency that is convenient for you  📩 For any questions, e-mail: catpusic@gmail.com  ► Instagram: https://www.instagram.com/catpusic/ ► Facebook: https://www.facebook.com/catpusic",2025-10-31T16:00:52Z,cat|cats|catpusic|catpusicteam|pusic and mila|cat jump|jump|catbehavior|felinequirks|jumpingcats|catpsychology|felineanatomy|petscience|catscience|animalinstincts|catantics|understandingcats,,PT2M2S,26819,974,92
gXebNjOS1nc,Scream Mask vs. Two Cats,"A scream from a horror movie came into our house on Halloween and is trying to find our cats. Our cats were shocked by his appearance. How will they react to the new guest in their home?  📌 If you want to support the channel and make a donation,  here is the link: https://www.donationalerts.com/r/catpusicteam There you can choose a currency that is convenient for you  📩 For any questions, e-mail: catpusic@gmail.com  ► Instagram: https://www.instagram.com/catpusic/ ► Facebook: https://www.facebook.com/catpusic  #cat #cats #halloween",2025-10-25T15:01:17Z,catpusic|the cat pusic|halloween|cats|cat|pusic and mila|cat halloween|prank|cat prank|pramks,#cat|#cats|#halloween,PT2M8S,7858,846,87
gxobpPSGSRw,Crunching Sound From An Excavator?,"Crunch, crunch!! Appetizing food for two cats. But one of them turns into an excavator and takes more food than it should. So which one is it?   📌 If you want to support the channel and make a donation,  here is the link: https://www.donationalerts.com/r/catpusic There you can choose a currency that is convenient for you  📩 For any questions, e-mail: catpusic@gmail.com  ► Instagram: https://www.instagram.com/catpusic/ ► Facebook: https://www.facebook.com/catpusic  #cat #crunchyasmr #asmr",2025-10-17T14:30:27Z,catpusic|the catpusic team|crunch|asmr|cat|cat asmr|cats|pusic and mila,#cat|#crunchyasmr|#asmr,PT2M25S,12907,1034,111
dhSyPqng12o,They Didn't Accept Him. Broken hearts 💔,"A new cat appears in the house. Unfortunately, our cats don't accept him, even after sniffing him. Feuds and fights break out. Unfortunately, there's nothing we can do.  📌 If you want to support the channel and make a donation,  here is the link: https://www.donationalerts.com/r/catpusic There you can choose a currency that is convenient for you  📩 For any questions, e-mail: catpusic@gmail.com  ► Instagram: https://www.instagram.com/catpusic/ ► Facebook: https://www.facebook.com/catpusic  #cat #funny #cats",2025-10-11T14:30:34Z,cat introduction drama|broken hearts and paws|feline feud|new cat struggles|cat acceptance journey|domestic cat conflict|emotional pets|fighting for acceptance|cat dynamics|pet emotional stories|catpusic|catpusicteam|pusic and mila|mila cat|CatPusic Team|catpusic team,#cat|#funny|#cats,PT3M4S,94243,1154,94
MY7BckfESEY,Cat Politely Asking To Get Petted,"In this captivating video, you'll learn how a cat asks dad for a scratch without meowing. Discover the silent signals and body language that convey their needs and feelings when they don't want to meow and know how to get attention in other ways. Join us on this touching journey, where every flick of a tail and wiggle of an ear speaks volumes, proving that sometimes actions really do speak louder than words!  #cat #meow #please   📌 If you want to support the channel and make a donation,  here is the link: https://www.donationalerts.com/r/catpusic There you can choose a currency that is convenient for you  📩 For any questions, e-mail: catpusic@gmail.com  ► Instagram: https://www.instagram.com/catpusic/ ► Facebook: https://www.facebook.com/catpusic",2025-10-03T15:00:43Z,cat communication|silent cat signals|body language of cats|how cats ask for attention|non-verbal cat cues|understanding feline behavior|cat scratch request|tail wagging language|emotional cats|pet behavior insights|cat|cats|catpusic|catpusic team|meow,#cat|#meow|#please,PT1M49S,40884,1611,136
cDrycJ1p6CI,Paw Power: Cat Drag Racing Championship!,"Get ready for the ultimate showdown as our feline friends take the wheel in the 'Paw Power: Cat Drag Racing Championship!' Watch as these adorable racers zip down the track in toy cars, showcasing their speed, agility, and playful spirit. Join us for thrilling races, unexpected twists, and heartwarming moments that prove these cats have the true racing spirit! Don't miss this pawsome adventure!   📌 If you want to support the channel and make a donation,  here is the link: https://www.donationalerts.com/r/catpusic There you can choose a currency that is convenient for you  📩 For any questions, e-mail: catpusic@gmail.com  ► Instagram: https://www.instagram.com/catpusic/ ► Facebook: https://www.facebook.com/catpusic  #cat #dragracing #championship",2025-09-23T15:01:18Z,CatRacing|FelineFury|PawPowerChampionship|KittySpeedsters|AdorableRacers|PetDragRacing|CatLovers|FunWithCats|RacingCats|Paw-someAdventure|catpusic|cat|cats|catpusic team|cat and mila|cat reaction,#cat|#dragracing|#championship,PT2M30S,52638,1200,112
G-KQIlcJKSo,Our Cats Are GhostBusters?,"Two adorable feline ghostbusters as they embark on a hilarious adventure, capturing quirky ghosts and pesky insects around the house! They explore creepy corners and act out touching scenes filled with laughter and charm. Get ready for an incredibly exciting mix of comedy and wit that will make you smile and wish for new ghost hunting escapades!  📌 If you want to support the channel and make a donation,  here is the link: https://www.donationalerts.com/r/catpusic There you can choose a currency that is convenient for you  📩 For any questions, e-mail: catpusic@gmail.com  ► Instagram: https://www.instagram.com/catpusic/ ► Facebook: https://www.facebook.com/catpusic   #cat #chostbusters #funny",2025-09-12T15:30:10Z,catpusic team|catpusic|cat pusic|cat mila|pusic and mila|chostBusters|CatGhostbusters|FelineAdventures|GhostHuntingCats|QuirkyGhosts|PetComedy|CreepyCorners|FunnyCats|HauntedHome|CatExplorers|InsectCapturers,#cat|#chostbusters|#funny,PT2M10S,67649,1066,89
