video_id,title,description,published_at,tags,hashtags,duration,view_count,like_count,comment_count
bWRf_8gsXVk,Berry chocolate pie，Try it.,,2025-12-06T06:08:19Z,,,PT35S,41559,750,12
Cm0D_-Q17Qw,When the cat blocked the toilet!🌚,,2025-11-17T10:35:21Z,,,PT33S,39537,486,17
foxqu728y5A,Chef Cat’s Summer Cuisine  And Relax! 🍉 |Cat Cooking Food|Cute And Funny Cat,"ChangAn, the NO.1 chef in the cat world!😸 Since 2019, ChangAn has been sharing funny and adorable recipes!  If our videos have tantalized your taste buds, don't miss out on subscribing to my channel! https://www.youtube.com/channel/UCv5R_Lzpu-4PopdHiDaH7-A?sub_confirmation=1  [Chef Cat ChangAn] is my only official channel on YouTube. Unauthorized copying or uploading of my videos is not permitted!  #chefcatchangan #catcookingfood #recipes  #catofyoutube #funnycats",2025-11-02T05:58:31Z,cat|tiktok|funny tiktok|cat cooking tiktok|Chef Cat Changan|cat cooking food|meow chef|funny cat videos|cat food|cat vlog|cat daily vlog|cat cooking sound|funny cats|cute cats|super funny cat videos|cats are not just animals but friends|super cat chef|tasty|animal cooking|funny pet titok|animal cooking show|dessert recipes|animal|animals|cute animals|料理猫王,#chefcatchangan|#catcookingfood|#recipes|#catofyoutube|#funnycats,PT8M7S,47263,487,25
IZhtU8oe2YE,The cat is taking care of the baby ฅ^·ﻐ·^ฅ,,2025-11-01T04:48:20Z,,,PT51S,75393,913,34
VeMoyp64Dv8,Crab roe soup dumplings #catcookingfood,,2025-10-02T16:05:09Z,,,PT1M8S,149675,2799,50
XPylgLdydco,The cat saw the baby for the first time.,,2025-09-25T10:05:35Z,,,PT29S,91310,931,49
28kqyuR3JlM,Watermelon ice cream (๑˃̵ഗ˂̴)و🍉 #catcookingfood #cat,,2025-08-17T08:40:10Z,,,PT41S,168757,2469,85
dwOG9a4ovBg,Sharing ice cream with ChangAn #cat #catcookingfood,,2025-08-12T09:06:52Z,,,PT14S,174399,1641,73
uaFdb3lD48M,When you call the cat,,2025-07-09T04:40:49Z,,,PT24S,135889,1478,61
WwZM0FAq-rk,"Flow-in ice cream,😋 yummy!#asmr #catcookingfood #catofyoutube",,2025-07-05T09:33:13Z,,,PT1M20S,219727,3124,74
nJvD4mtreic,Labubu Watermelon smoothie (๑˃̵̣ᴗ˂)و🍉#chefcatchangan,,2025-07-03T11:27:45Z,,,PT1M36S,203550,3124,73
Y_B2ncj6_so,"The lychee harvest is abundant, and you can eat as much as you want. #catcookingfood #catofyoutube",,2025-06-23T06:13:51Z,,,PT44S,201235,2898,40
vzkxKKUNeSU,Cat Chef makes food with Chinese kung fu 🐱 #catcookingfood #catofyoutube,,2025-06-07T12:40:00Z,,,PT1M1S,309757,4981,67
FQDidwSBz9s,The cat shook the can and made an incredible ice cream. #catcookingfood #catofyoutube,,2025-05-29T04:56:30Z,,,PT47S,391997,6041,59
0tBtxLesfEA,Summer Cuisine by Chef Cat #catcookingfood,,2025-05-19T07:43:08Z,,,PT1M1S,289424,4517,41
eoh7dZX_I6g,The cat chef uses watermelon to make lipstick.💄 #catofyoutube #catcookingfood,,2025-05-14T15:49:04Z,,,PT24S,341541,3707,35
DJpVhxxEmr4,BBQ with the cat chef in the wild! #catofyoutube #camping #catcookingfood,,2025-05-04T03:37:33Z,,,PT1M56S,256814,3325,47
hxODIDXa8pE,Mango Lava Ice Cream #chefcat #catcookingfood,,2025-04-27T04:35:33Z,,,PT58S,460179,7474,49
9tdEhVJ38pU,When you call the cat over.,,2025-04-26T16:02:10Z,,,PT24S,202995,1624,20
