video_id,title,description,published_at,tags,hashtags,duration,view_count,like_count,comment_count
hcpy00gHNgE,This is WHY cats sleep on laundry,Chip calls my laundry LUXURY housing. 😸,2025-12-07T13:03:43Z,cat behavior|cat comfort|cat content|cat facts|cat lovers|cat personality|cat short|cat video|cats of instagram|cats of youtube|chip the manx|cute cats|funny cat video|funny cats|laundry cats|manx cat|pet influencer,,PT12S,8533,416,7
inPYOtB3YC8,This is WHY your cats love grass!,Chip STANDS on business. 😸,2025-12-06T11:03:37Z,cat behavior|cat content|cat digestion|cat facts|cat grass|cat lovers|cat personality|cat short|cat video|cats of instagram|cats of youtube|chip the manx|cute cats|funny cat video|funny cats|manx cat|pet influencer,,PT10S,7967,325,6
91iHtrfc7Pk,This is WHY boy cats are the best!,Boy moms know EXACTLY what I’m talking about.,2025-12-05T13:04:49Z,boy cats|cat behavior|cat content|cat facts|cat lovers|cat personality|cat short|cat video|cats of instagram|cats of youtube|chip the manx|cuddly cats|cute cats|funny cat video|funny cats|male cats|manx cat|pet influencer,,PT12S,19766,1234,34
esSMxlqp6YY,"THIS is why cats love ""elevator butt""",Cats absolutely love “bongos”! Drop a 👋🏼to give Chip some more!! Do you do this to your cat?,2025-12-04T12:54:14Z,,,PT8S,16868,743,27
QOKbDvWbxy0,Can you please diagnose Chip’s condition,,2025-12-03T13:54:27Z,,,PT17S,18494,1444,38
dwiSJZeYQGU,This is WHY your cats love to destroy Christmas trees!,Chip’s committing FULLY to holiday season chaos. 😸,2025-12-03T12:03:52Z,cat behavior|cat content|cat lovers|cat personality|cat short|cat video|cats of instagram|cats of youtube|chip the manx|christmas cats|cute cats|festive cats|funny cat video|funny cats|holiday cats|manx cat|pet influencer,,PT11S,21211,671,19
dXR6szj6kas,This is WHY cats like boxes.,Cat logic: BOX vs BED 😸,2025-12-02T13:04:30Z,cat behavior|cat content|cat logic|cat lovers|cat personality|cat short|cat video|cats love boxes|cats of instagram|cats of youtube|chip the manx|cute cats|funny cat video|funny cats|manx cat|pet influencer,,PT37S,24306,2702,26
3WUxy5mG_VY,I accidentally launched my cat across the room,,2025-12-01T16:42:20Z,,,PT50S,122562,7778,162
Sv2YFDzRoWk,This is WHY your cats bite you!,"About 40 percent of cats hit their LIMIT during long petting sessions. 😹 That surprise bite isn’t attitude, it’s sensory overload.",2025-11-30T12:03:38Z,cat behavior|cat content|cat facts|cat instincts|cat lovers|cat overstimulation|cat personality|cat short|cat video|cats of instagram|cats of youtube|chip the manx|cute cats|funny cat video|funny cats|manx cat|pet influencer|petting cats,,PT10S,25321,1092,27
bp3lvGD_7u8,This is WHY your cats hunt birds!,Cats basically come with a built in RADAR system. 😸 Chip’s out here detecting birds we can’t even see.,2025-11-29T12:03:39Z,cat behavior|cat content|cat facts|cat hunting|cat instincts|cat lovers|cat personality|cat radar|cat senses|cat short|cat video|cats of instagram|cats of youtube|chip the manx|cute cats|funny cat video|funny cats|manx cat|pet influencer,,PT11S,17216,435,10
Vky7FOKU4mk,Chip’s starting an Only PAWS to help mom pay for eggs. 😹,Chip’s starting an Only PAWS to help mom pay for eggs. 😹  How much do you think his toe beans are worth on the open market? Comment your guess below!,2025-11-28T13:08:18Z,cat content|cat humor|cat lovers|cat personality|cat short|cat video|cats of instagram|cats of youtube|chip the manx|cute cats|funny cat video|funny cats|manx cat|only paws|pet influencer|spoiled cats|toe beans,,PT7S,21162,1240,19
NF6nankQrnU,THIS is what Chip is thankful for this year!,"Chip has a LOT to be thankful for this year. 😸 From endless treats to warm naps, from chaos with Biskit to all of you who love him every day.",2025-11-27T20:04:44Z,cat content|cat gratitude|cat lovers|cat personality|cat short|cat video|cats of instagram|cats of youtube|chip the manx|cute cats|funny cats|holiday cats|manx cat|pet influencer|thanksgiving cats,,PT23S,20277,1324,18
HRUl3TceF8E,This is HOW you should play with cats!,Chip and Biskit are reviewing their HUNTING skills today. 😸 Apparently the “catch the prey” part is still under negotiation.,2025-11-27T14:04:47Z,biskit the calico|cat aggression|cat behavior|cat content|cat facts|cat lovers|cat short|cat toys|cat video|cats of instagram|cats of youtube|chip the manx|cute cats|funny cats|interactive cat toys|pet influencer,,PT10S,27002,560,6
t3SZx7N-9NE,Chip Got An Early Christmas Gift! | Yaber Pets Air Purifier,Check out this air purifier here!: https://amzn.to/3XCwX90 (Use Chip's special discount code for it to be a lower price!: 928AHCXI),2025-11-26T20:01:14Z,,,PT1M,19512,3815,14
E3gyHqekkrw,This is WHY your cats love small toys!,"Small toys mimic PREY, which is why cats can’t resist them. 😸",2025-11-26T12:04:31Z,cat behavior|cat content|cat facts|cat hunting|cat instincts|cat lovers|cat personality|cat play|cat short|cat toys|cat video|cats of instagram|cats of youtube|chip the manx|cute cats|funny cat video|funny cats|manx cat|pet influencer,,PT10S,16591,1146,18
ZaumLezRtsM,Chip Got An Air Purifier And Refuses To Share - Yaber Pets Unboxing ,"Check out the Yaber Pets Air Purifier here: https://amzn.to/3XCwX90  #ad | Keeping the air clean for Chip is a PRIORITY. 😸 We’ve been trying out the Yaber Pets Air Purifier and the difference is real.  This purifier is designed specifically for homes with pets. It helps reduce fur, odors, and allergens to keep everyone breathing easier. Perfect for larger rooms and busy pet households like ours.  Have you ever used an air purifier for your pets? Let me know below.👇  #YaberPets #airpurifier #airpurifierlargeroom #healthylifestyle",2025-11-25T17:48:21Z,,#ad|#YaberPets|#airpurifier|#airpurifierlargeroom|#healthylifestyle,PT6M32S,286,42,2
l0GrHNt6P3Y,I Confronted My Cat’s Online Haters & This Is What Happened,"Apparently my cat has haters. I know. It sounds ridiculous. But every time I post a video of Chip, people assume something terrible happened to his tail. Some report the video. Some leave comments calling him abused. Some even say he needs to be rescued.  This video is the full story of what actually happened and what went down when I finally confronted the people who were spreading misinformation about him. Chip is a Manx cat which means he was born without a tail. There is no injury. No harm. Just genetics and one very confident cat who has no idea there is a debate about him online.  In this video I talk about why Manx cats look the way they do, what the tailless gene is, why his videos get reported, and how the internet reacted when people stepped up to defend him. If you have ever seen a tailless cat or wondered why some cats are born without tails, this will answer everything.  Thank you to everyone who continues to support Chip and helps correct the misinformation. You make a huge difference and Chip would thank you himself if he could stop stealing my snacks long enough to speak.",2025-11-25T15:02:39Z,,,PT4M47S,612,129,47
9yeCKfpk7Q4,Do Cats Dream? The Surprising Truth Behind Your Cat’s Sleep,"Cats can DREAM just like us. 😸 They twitch, wiggle, and run little adventures in their sleep like tiny furry dream warriors.",2025-11-25T13:06:44Z,cat behavior|cat content|cat dreaming|cat lovers|cat personality|cat science|cat short|cat sleep|cat sleep facts|cat twitching|cat video|cats dream|cats of instagram|cats of youtube|chip the manx|cute cats|do cats dream|funny cat video|funny cats|manx cat|pet influencer,,PT1M2S,21652,4519,46
gXEFgt9S5NM,THIS is how cats learn their names!,Cat Facts (Part 70!) 🥳  Does YOUR cat know their name? Chip & Biskit definitely do!  I’d love to know your experience!,2025-11-24T13:05:07Z,,,PT53S,22217,2849,32
AQBDfsJGm_o,Would YOUR cat survive in the wild?,Chip would THRIVE in the wild… for about five minutes. 😹,2025-11-22T12:02:57Z,cat behavior|cat content|cat humor|cat life|cat lovers|cat personality|cat short|cat video|cats of instagram|cats of youtube|chip the manx|cute cats|funny cat video|funny cats|indoor cats|manx cat|pet influencer|spoiled cats,,PT10S,35503,1129,15
YPreGIi3nuo,This is HOW your cats attack,"🐾 Cat FACT of the day! 😹 When cats go on the attack, they often bite from the bottom. It’s a hunting instinct that helps them take control.",2025-11-21T13:03:23Z,cat behavior|cat bites|cat content|cat facts|cat humor|cat instincts|cat life|cat lovers|cat personality|cat short|cat video|cats of instagram|cats of youtube|chip the manx|cute cats|funny cat video|funny cats|manx cat|pet influencer|playful cats,,PT20S,28746,1904,26
OxzIC7Myfoc,Chip’s RECOVERY phase after a full day of chaos. 😴,Chip’s RECOVERY phase after a full day of chaos. 😴,2025-11-20T12:03:26Z,cat behavior|cat content|cat humor|cat life|cat lovers|cat personality|cat short|cat video|cats of instagram|cats of youtube|chip the manx|cute cats|funny cat video|funny cats|lazy cats|manx cat|mischievous cats|pet influencer|sleepy cats,,PT7S,18266,545,7
M64sTBPlwu0,I made my cats a Thanksgiving FEAST 🦃,"Fall is here, and Chip’s savoring every cozy moment, especially mealtime! 🍁   His new favorite? Wellness Complete Health Purrfect Duos! Made with high-quality protein as the #1 ingredient, it’s the perfect mix of mouthwatering flavor and complete daily nutrition (with no artificial flavors, colors, or preservatives).   Even my picky eater can’t resist! When our cats eat well, they feel well, and that means more fall cuddles, playful moments, and happy purrs all season long.   Have you tried @WellnessPetFood Purrfect Duos yet? Tell me your cat’s favorite flavor below! 👇   #WellnessPet #WellnessPetFood",2025-11-19T14:06:51Z,,#1|#WellnessPet|#WellnessPetFood,PT34S,11907,1395,16
0KWSrHbyNyg,This is WHY your cats get the zoomies,"🐾 Cat FACT of the day! 😹 Cats get the zoomies to burn off extra energy, especially after naps or litter box time. It’s their way of saying “I’m alive!”",2025-11-19T12:33:10Z,cat behavior|cat content|cat energy|cat facts|cat humor|cat life|cat lovers|cat personality|cat short|cat video|cat zoomies|cats of instagram|cats of youtube|chip the manx|cute cats|funny cat video|funny cats|manx cat|pet influencer|playful cats,,PT1M10S,26299,3573,34
1MW9lUhAASA,I Never Expected THIS After Switching to a Stainless Steel Litter Box,"Chip unboxes the PTLOM stainless steel corner litter box and giving you a quick review (with Biskit’s help!) of how it works in a real cat home.   This was gifted to Chip and we truly enjoy it! The high edges, curved opening, smooth stainless steel interior, and easy to clean design make it a great fit for cats who scatter litter or need more space.  If you are looking for a stainless steel litter box for cats, a corner litter box for small spaces, or a durable odor resistant setup, this video shows you exactly what to expect. Chip also shares how it works alongside our automatic litter box since we use both.  Check out the corner litter box here: https://ptlom.com/  You can also find it their boxes on Amazon!: https://amzn.to/4r4BvT7  Let me know in the comments what products Chip & Biskit should try out next!",2025-11-18T13:00:31Z,,,PT4M55S,408,45,4
VhIDT8B3tlE,THIS is why cats bite your hand,"THIS is why cats bite! 😈  One of Chip’s most famous cat facts, it’s a lot simpler than you think! Biskit does not bite us though. It’s only really a Chip thing.   Any fun nicknames for Chip the vampire?",2025-11-18T12:04:08Z,,,PT22S,28579,1162,14
6UaS2wKLuZQ,How to pet a cat (the CORRECT way),How to pet a cat (the CORRECT way) 😉,2025-11-17T12:52:19Z,Cat facts,,PT12S,22633,707,16
OMiYcWaYnBg,THIS is why cats do zoomies,"Cat FACT of the day!  Ever wonder why your cat suddenly sprints around the house like they’re in the Olympics? It’s called the zoomies! 😹 Cats do it to release built-up energy, especially after naps or litter box time.",2025-11-16T11:32:11Z,cat behavior|cat content|cat energy|cat facts|cat humor|cat life|cat lovers|cat personality|cat short|cat video|cat zoomies|cats of instagram|cats of youtube|chip the manx|cute cats|funny cat video|funny cats|manx cat|pet influencer|playful cats,,PT12S,13842,425,8
gbXHvat0RvY,This is HOW to pet a cat,How to pet a cat: Chip actually APPROVED today. Miracles happen. 😼,2025-11-15T12:04:04Z,cat approval|cat behavior|cat content|cat humor|cat life|cat lovers|cat personality|cat petting|cat short|cat video|cats of instagram|cats of youtube|chip the manx|cute cats|funny cat video|funny cats|manx cat|pet influencer,,PT28S,13508,656,23
Lf_pWcBrvFs,THIS is why your cats make biscuits!,"Chip’s KNEADING his way through life, literally. 🍞  Cats make biscuits to show comfort, love, and a little ownership.",2025-11-14T09:32:58Z,cat behavior|cat bonding|cat comfort|cat content|cat facts|cat kneading|cat life|cat lovers|cat personality|cat short|cat video|cats making biscuits|cats of instagram|cats of youtube|chip the manx|cute cats|funny cats|manx cat|pet influencer|why cats knead,,PT1M4S,17426,2516,17
EpZlY9p6GLU,This is WHY your cats like boxes,"Cat FACT of the day! 🐾   Ever wonder why cats are obsessed with boxes? 😹 It’s all about comfort, warmth, and security—small spaces make them feel safe while they plot world domination.  Does your cat squeeze into every box they find?",2025-11-12T10:31:43Z,box cats|cat behavior|cat comfort|cat content|cat facts|cat humor|cat life|cat lovers|cat personality|cat short|cat video|cats love boxes|cats of instagram|cats of youtube|chip the manx|cute cats|funny cat video|funny cats|manx cat|pet influencer,,PT11S,27541,1241,28
mOG_PGb3tII,Why Chip keeps getting reported (He doesn’t deserve it…),"Chip The Mac i￼s a tailless cat, born without a tail! But apparently there are some people out there who don’t want to believe that 🫠",2025-11-11T13:27:07Z,,,PT3M34S,1128,214,95
6SoJVI36Ti4,THIS is how much your cat sleeps,"Cat FACT: Around 70% of a cat’s life is spent sleeping—professional nappers, part-time chaos coordinators. 💤",2025-11-09T11:32:26Z,cat behavior|cat content|cat facts|cat humor|cat life|cat lovers|cat naps|cat personality|cat short|cat sleeping|cat video|cats of instagram|cats of youtube|chip the manx|cute cats|funny cat video|funny cats|manx cat|pet influencer|sleepy cats,,PT12S,22903,981,15
YrxogZxP1fQ,THIS is why cats meow!,#fallintoshorts,2025-11-08T15:30:26Z,,#fallintoshorts,PT51S,19669,1135,14
UifDN04fNck,THIS is how long catnip lasts,Chip’s *CATNIP* adventures don’t last long—just 10 minutes of chaos followed by a two-hour cooldown. 🌿  #fallintoshorts,2025-11-07T10:03:16Z,cat behavior|cat content|cat facts|cat life|cat lovers|cat personality|cat short|cat video|catnip effects|catnip facts|catnip reaction|catnip time|cats of instagram|cats of youtube|chip the manx|cute cats|funny cat video|funny cats|manx cat|pet influencer,#fallintoshorts,PT12S,37605,1067,22
N27sMd0_osI,THIS Is Why Cats Meow! | Fun Cat Facts,Why do cats meow? This is why cats meow!  Enjoy another fun cat fact video by Chip￼ The Manx!,2025-11-05T17:55:01Z,,,PT4M34S,485,46,3
sEgg1TNOyLk,When cat siblings get into an argument,Everyone who owns cat siblings has experienced this 🤭  #fallintoshorts,2025-11-05T12:02:33Z,,#fallintoshorts,PT14S,78522,3217,35
Q3hWY142iaE,THIS is why cats like aggresive spanks,Did you know this cat fact? Cats love gets bongos!  #fallintoshorts,2025-11-04T10:32:28Z,,#fallintoshorts,PT8S,31100,1099,23
yuT-kRODzoM,5 Signs You NEED Better Cat Litter…👀,#fallintoshorts,2025-11-02T20:03:51Z,,#fallintoshorts,PT47S,4539,297,7
