video_id,title,description,published_at,tags,hashtags,duration,view_count,like_count,comment_count
zBWqTum5QkE,The BIGGEST Cat That Can Purr!,A Puma Purr!  Check out our new website! - https://coleandmarmalade.com  Instagram: https://www.instagram.com/coleandmarmalade Facebook: https://www.facebook.com/ColeandMarmalade  #Purr #Cougar #BigCat,2025-11-12T20:22:29Z,cats|cat|cougar|biggest cat|cat purr|cougar purr|mountain lion|puma|puma purr|big cat rescue|lion|tiger|meow|biggest meow|loudest purr,#Purr|#Cougar|#BigCat,PT24S,24467,2506,103
IcS1QZrKj_U,2 Kittens with Scary Sound Effects!,"The cutest little monsters you'll ever see and hear!  Fur merch, mews and more, check out our website! - https://coleandmarmalade.com Subscribe: http://bit.ly/SubToColeAndMarmalade  Follow us on our social sites so you don’t miss any cute pics, vids and updates!! Facebook: https://www.facebook.com/ColeandMarmalade Instagram: https://www.instagram.com/coleandmarmalade   #Halloween #CatSounds #FunnyCats #meow",2025-10-30T18:48:22Z,cats|cat|cat sounds|cat meow|funny cats|cat purr|roar|growl|cat talk|talking cat|halloween|scary sounds|sound effects|cute kittens|tiny kittens|kittens playing|kittens,#Halloween|#CatSounds|#FunnyCats|#meow,PT2M33S,16885,3193,212
U5baidROnto,My Cat Loves to Eat Pumpkin!,"Do YOUR cats like pumpkin?  🎃  Pumpkin is a year round healthy snack for your kitties: https://coleandmarmalade.com/2018/10/26/autumns-purrfect-fruit-and-year-round-healthy-cat-snack-natural-pumpkin-puree/  Fur merch, mews and more, check out our website! - https://coleandmarmalade.com Subscribe: http://bit.ly/SubToColeAndMarmalade  Follow us on our social sites so you don’t miss any cute pics, vids and updates!! Facebook: https://www.facebook.com/ColeandMarmalade Instagram: https://www.instagram.com/coleandmarmalade   #Pumpkin #CatFoods #Cats",2025-10-25T20:11:27Z,life with cats|cole and marmalade|ginger cat|cats|cat|pumpkin|jack o lantern|Halloween|pumpkin carving|cat food|cat health|cat owners|cat supplements|diet|health,#Pumpkin|#CatFoods|#Cats,PT59S,17613,3063,268
iTH0zhwrNEE,Black Cat Loves His Guardian 🖤,"I sure miss his snuggles, so glad we have moments like this captured on film... just look at the love in his eyes #TeamColeFurever  Check out our new website! - https://coleandmarmalade.com  Instagram: https://www.instagram.com/coleandmarmalade Facebook: https://www.facebook.com/ColeandMarmalade",2025-10-12T17:38:11Z,cole and marmalade|black cats|cats|cat|cat loves owner|cat loves dad|cat dad|real men love cats|cute,#TeamColeFurever,PT2M6S,20790,4294,249
fzXCkUJPiVU,A Cat's Guide to a NEW Home 🏠,Prime Big Deal Days (Oct 7–8) - Don’t miss out on this limited-time offer: https://amzn.to/47dkbmQ Shop on the MOVA Website: https://bit.ly/4mSABps  #PrimeBigDealDays #AmazonDeals #AmazonFinds #MOVA #MOVADeals #MOVAV50UltraComplete #Sponsored #ad,2025-10-07T14:38:10Z,life with cats|cat logic|cole and marmalade|ginger cat|black cats|cats|cat|MOVA|robot vacuum|amazon|funny cats,#PrimeBigDealDays|#AmazonDeals|#AmazonFinds|#MOVA|#MOVADeals|#MOVAV50UltraComplete|#Sponsored|#ad,PT4M7S,68521,4062,314
lzFujUfP6F8,12 Year Old Senior Ginger Cat Still Plays Like a Kitten!,"Marmalade discovered a new “toy” enjoy the fun!  Fur merch, mews and more, check out our website! - https://coleandmarmalade.com Subscribe: http://bit.ly/SubToColeAndMarmalade  Follow us on our social sites so you don’t miss any cute pics, vids and updates!! Facebook: https://www.facebook.com/ColeandMarmalade Instagram: https://www.instagram.com/coleandmarmalade   #FunnyCat #GingerCatBehavior #OrangeCat",2025-09-28T17:38:29Z,cat logic|cole and marmalade|ginger cat|cats|cat|funny cat|orange cat behavior|orange cat|derp|crazy cat|cutest kitten|cat playing,#FunnyCat|#GingerCatBehavior|#OrangeCat,PT2M55S,29199,5850,600
bcWEWn90F0o,The World's Cutest Cat Couple?!,"Bond and Calypso really love each other, the world needs more BoCa!  Check out our new website! - https://coleandmarmalade.com  Instagram: https://www.instagram.com/coleandmarmalade Facebook: https://www.facebook.com/ColeandMarmalade  #BondAndCalypso #CatsInLove #Shorts #Cats",2025-09-21T16:43:55Z,cats|cat|cats in love|cat couple|cats love each other|cat partners,#BondAndCalypso|#CatsInLove|#Shorts|#Cats,PT1M22S,20298,3441,210
JdMF5TAyJb8,Do Your Cats Sleep in Bed with You?,"Do we have a choice? … Let us know in the comments!  Fur merch, mews and more, check out our website! - https://coleandmarmalade.com Subscribe: http://bit.ly/SubToColeAndMarmalade  Follow us on our social sites so you don’t miss any cute pics, vids and updates!! Facebook: https://www.facebook.com/ColeandMarmalade Instagram: https://www.instagram.com/coleandmarmalade   #CatsAtNight #Sleeping #Cats",2025-09-12T20:55:54Z,life with cats|cat logic|cole and marmalade|ginger cat|black cats|cats|cats at night|night|sleeping|cat owners|dark|sleep|bed|paranormal activity|cute|cat man chris|cat dad|cat guy,#CatsAtNight|#Sleeping|#Cats,PT1M50S,76948,5138,665
Tw6kbtlIiBA,Organizing My Cat Whisker Collection 😺,Cat people can relate!  Check out our new website! - https://coleandmarmalade.com  Instagram: https://www.instagram.com/coleandmarmalade Facebook: https://www.facebook.com/ColeandMarmalade 😺  #whiskers #cute #cats,2025-09-03T19:43:06Z,life with cats|cat logic|cole and marmalade|black cats|cats|cat|whiskers|whisker collection|cute|meow|ginger cat,#whiskers|#cute|#cats,PT51S,14020,1651,174
4n0dSJz_B6Y,When Cats are Being Artists 😹,"Pawcasso! ... Cats are such talented artists :)  Fur merch, mews and more, check out our website! - https://coleandmarmalade.com Subscribe: http://bit.ly/SubToColeAndMarmalade  Follow us on our social sites so you don’t miss any cute pics, vids and updates!! Facebook: https://www.facebook.com/ColeandMarmalade Instagram: https://www.instagram.com/coleandmarmalade   #LifeWithCats #Cats #FunnyCats",2025-08-31T19:45:54Z,life with cats|cat logic|cole and marmalade|ginger cat|black cats|cats|cat|funny cats|funny cat videos|art|artists|picasso|paw paintings|cute cats|van gogh|art show,#LifeWithCats|#Cats|#FunnyCats,PT3M22S,20965,4088,312
