video_id,title,description,published_at,tags,hashtags,duration,view_count,like_count,comment_count
0wo0lRW_lXg,Actually she just likes to whisper sometimes,,2025-11-24T12:04:27Z,,,PT8S,146444,8268,150
hcco9LKxVw0,Cat drama,,2025-11-22T19:26:27Z,,,PT21S,72634,6914,146
uE3M1jcBn_I,Someone needs to study Chico’s hate for meat,,2025-11-20T05:30:43Z,,,PT14S,105624,6944,207
m08QqkPqQpQ,The kibble muncher,,2025-11-09T19:20:43Z,,,PT25S,68115,6990,243
CFRBNiEH_R0,She has a long day of eating and playing ahead of her,,2025-11-03T18:23:11Z,,,PT23S,186465,15752,451
GyhV4Au3KAI,Crunchycat - crunch,Merch: https://crunchycat.dashery.com  Stay crunchy and don’t take crunches from strangers. Have a nice day.,2025-11-02T16:18:33Z,,,PT1M44S,84982,6827,483
3emS7NhQ3io,Crunchycat- Happy jumps,She’s just a happy cat :-),2025-10-25T18:36:50Z,,,PT51S,36125,4612,276
N29UFw--6PQ,Luni thinking about thoughts,,2025-10-20T08:19:52Z,,,PT21S,104836,13767,380
48GnsRB33j8,Crunchycat - The cruncher ,Art gallery mug: https://crunchycat.dashery.com/products/80622699-art-gallery-mug?fbclid=PARlRTSANUAP5leHRuA2FlbQIxMQABpxEF3Dc900dFu3rczeYDx8B2l5KFkuSP2WwZ3589EDeqSEE0MothN4pAVonj_aem_rgjwlLdYq69_gS-JfaYf4Q  Thank you for your support 🤍!,2025-10-09T02:51:13Z,,,PT2M10S,56028,7205,578
klu7z_uI5Rg,Insatiable,,2025-10-05T03:33:17Z,,,PT29S,139747,18905,394
X_vUdboJ4hM,Elisa now has her own Channel: ​⁠@elisabioss,,2025-09-28T21:10:19Z,,,PT28S,91390,7598,168
VQBffbx1JVQ,serious crunch,,2025-09-28T00:16:43Z,,,PT47S,69507,8931,210
-GBr6ZIp4pA,serious crunching,,2025-09-28T00:12:27Z,,,PT47S,48443,5526,142
TszFQCLMsno,❤️,,2025-09-28T00:06:02Z,,,PT5S,61248,5042,153
N4ZwyaENRAA,🦁,,2025-09-18T05:57:39Z,,,PT5S,111440,6877,138
0XHS7u3_3mc,Crunchycat - nose scrunch,Merch: https://crunchycat.dashery.com  Thank you for your support and have a nice day Lunalover!,2025-09-13T06:57:42Z,,,PT1M3S,31587,4071,310
yOJxNIaC5x4,Before going up the stairs she needs to concentrate,,2025-09-12T15:20:57Z,,,PT10S,140750,9019,197
P9jgjy0LI7A,Luna's defense tactics,,2025-09-10T23:31:06Z,,,PT29S,182204,20872,532
PQV1BxYntTI,Knowing how old they will be next year is making me unspeakable sick to my stomach,,2025-09-09T19:20:27Z,,,PT28S,113919,9141,212
hwYUJ5GKsA0,She’s behind me isn’t she,,2025-09-08T01:08:52Z,,,PT8S,82725,4909,111
LvNEvre_hfg,FAST,,2025-09-07T16:42:13Z,,,PT19S,66535,5244,159
6k6J35M4lHk,"Don’t be too late to Crunching Class, otherwise teacher Luna will hand out consequences",,2025-09-07T16:04:10Z,,,PT17S,85726,11059,336
m37-gUncC0k,Older video but important,,2025-09-07T14:53:01Z,,,PT10S,68903,6698,167
BpwqWpytZrY,Luna tried to scare Elisa,,2025-08-31T20:05:55Z,,,PT30S,196228,13164,165
PSKm88I3pzM,Newborn Luni,,2025-08-30T16:13:12Z,,,PT16S,122231,12858,245
FucrrGvFlrg,Luna duality,,2025-08-28T22:49:06Z,,,PT28S,727791,51844,837
cHHUK2O-By0,Explain this,,2025-08-28T21:38:50Z,,,PT15S,249771,13867,247
7qCYIF-qnbA,She wants to be petted and not to be touched at the same time,,2025-08-28T16:21:44Z,,,PT12S,166094,10311,159
nA7YfVEYGcI,They had an argument,,2025-08-28T02:03:05Z,,,PT22S,117495,11014,231
Kw1Gd0MCrKs,The cruncher,,2025-08-27T03:34:34Z,,,PT19S,97209,9273,240
H0JfTEVrDJc,You can see the babiness,,2025-08-26T21:08:30Z,,,PT32S,88325,10020,212
ZhN9NOVy5Es,Tired baby,,2025-08-26T18:02:08Z,,,PT14S,95342,10369,246
HE-1GkYE640,Cat language,,2025-08-23T22:01:27Z,,,PT12S,85825,9575,420
