video_id,title,description,published_at,tags,hashtags,duration,view_count,like_count,comment_count
wKH8vJwMtAo,My cat’s inner demon 😈,,2025-12-04T10:53:02Z,,,PT11S,8291,653,10
sybHxvucmS4,The cutest office assistant,"Dexter the Cat 📦🐈 Winner of The Crunchiest Cat in the Universe competition three years in a row. 🎖️ He is a goober, a stapler, and a cutie-patootie rolled into one orange-flavoured cat. 0% brain cells, 100% vibes.  #cat #orangecat #kitten #funnycats #cute",2025-12-02T13:36:43Z,,#cat|#orangecat|#kitten|#funnycats|#cute,PT17S,21028,903,12
dwMgulsBLM0,This cat has no manners 😒,"Dexter the Cat 📦🐈 Winner of The Crunchiest Cat in the Universe competition three years in a row. 🎖️ He is a goober, a stapler, and a cutie-patootie rolled into one orange-flavoured cat. 0% brain cells, 100% vibes.  #cat #orangecat #kitten #funnycats #cute",2025-11-30T14:48:36Z,,#cat|#orangecat|#kitten|#funnycats|#cute,PT9S,21847,864,21
ZXmYgc3DuXg,My cat’s strange addiction 📦,"Dexter the Cat 📦🐈 Winner of The Crunchiest Cat in the Universe competition three years in a row. 🎖️ He is a goober, a stapler, and a cutie-patootie rolled into one orange-flavoured cat. 0% brain cells, 100% vibes.  #cat #orangecat #kitten #funnycats #cute",2025-11-29T11:17:47Z,,#cat|#orangecat|#kitten|#funnycats|#cute,PT12S,15492,1133,27
mlajIOXCV6w,He doesn’t even pay rent 😤,"Dexter the Cat 📦🐈 Winner of The Crunchiest Cat in the Universe competition three years in a row. 🎖️ He is a goober, a stapler, and a cutie-patootie rolled into one orange-flavoured cat. 0% brain cells, 100% vibes.  #cat #orangecat #kitten #funnycats #cute",2025-11-27T16:01:11Z,,#cat|#orangecat|#kitten|#funnycats|#cute,PT17S,14766,1070,20
EuFGw3eJ6To,Amazon Purrime ✅ 📦,"Dexter the Cat 📦🐈 Winner of The Crunchiest Cat in the Universe competition three years in a row. 🎖️ He is a goober, a stapler, and a cutie-patootie rolled into one orange-flavoured cat. 0% brain cells, 100% vibes.  #cat #orangecat #kitten #funnycats #cute",2025-11-23T15:28:03Z,,#cat|#orangecat|#kitten|#funnycats|#cute,PT18S,34963,1986,19
hWbA8NPUEMo,Cat GPT 🤖,"Dexter the Cat 📦🐈 Winner of The Crunchiest Cat in the Universe competition three years in a row. 🎖️ He is a goober, a stapler, and a cutie-patootie rolled into one orange-flavoured cat. 0% brain cells, 100% vibes.  #cat #orangecat #kitten #funnycats #cute",2025-11-22T18:38:10Z,,#cat|#orangecat|#kitten|#funnycats|#cute,PT24S,234103,7748,39
gDDP-cQ9WqM,Bro didn't get his loan 😾,"Dexter the Cat 📦🐈 Winner of The Crunchiest Cat in the Universe competition three years in a row. 🎖️ He is a goober, a stapler, and a cutie-patootie rolled into one orange-flavoured cat. 0% brain cells, 100% vibes.  #cat #orangecat #kitten #funnycats #cute",2025-11-19T19:04:08Z,,#cat|#orangecat|#kitten|#funnycats|#cute,PT15S,36646,1418,24
3i7AM6Ccz-k,Stapler Cat ♻️,"Dexter the Cat 📦🐈 Winner of The Crunchiest Cat in the Universe competition three years in a row. 🎖️ He is a goober, a stapler, and a cutie-patootie rolled into one orange-flavoured cat. 0% brain cells, 100% vibes.  #cat #orangecat #kitten #funnycats #cute",2025-11-18T20:20:52Z,,#cat|#orangecat|#kitten|#funnycats|#cute,PT14S,103747,2494,39
18fqn3YjHd8,Most annoying cat in the world🥇,"Dexter the Cat 📦🐈 Winner of The Crunchiest Cat in the Universe competition three years in a row. 🎖️ He is a goober, a stapler, and a cutie-patootie rolled into one orange-flavoured cat. 0% brain cells, 100% vibes.  #cat #orangecat #kitten #funnycats #cute",2025-11-16T17:01:56Z,,#cat|#orangecat|#kitten|#funnycats|#cute,PT7S,22770,1010,10
wnURDkbyjnM,My cat is a Mechanic 🔧,"Dexter the Cat 📦🐈 Winner of The Crunchiest Cat in the Universe competition three years in a row. 🎖️ He is a goober, a stapler, and a cutie-patootie rolled into one orange-flavoured cat. 0% brain cells, 100% vibes.  #cat #orangecat #kitten #funnycats #cute",2025-11-15T15:55:34Z,,#cat|#orangecat|#kitten|#funnycats|#cute,PT15S,22113,1341,19
pXQcEqnPiVY,Top 5 orange Cat DLC’s ✅,"Dexter the Cat 📦🐈 Winner of The Crunchiest Cat in the Universe competition three years in a row. 🎖️ He is a goober, a stapler, and a cutie-patootie rolled into one orange-flavoured cat. 0% brain cells, 100% vibes.  #cat #orangecat #kitten #funnycats #cute",2025-11-14T13:30:43Z,,#cat|#orangecat|#kitten|#funnycats|#cute,PT19S,26426,1457,9
bx9Ze1K4nVg,Love at first bite 🧡,"Dexter the Cat 📦🐈 Winner of The Crunchiest Cat in the Universe competition three years in a row. 🎖️ He is a goober, a stapler, and a cutie-patootie rolled into one orange-flavoured cat. 0% brain cells, 100% vibes.  #cat #orangecat #kitten #funnycats #cute",2025-11-11T18:31:12Z,,#cat|#orangecat|#kitten|#funnycats|#cute,PT14S,167582,4743,62
