video_id,title,description,published_at,tags,hashtags,duration,view_count,like_count,comment_count
NMd2iWTpeOQ,ハロウィンパーティーで何かを感じ取ったはなとみり。 -Hana&Miri sensed something at Halloween party .-,"まるさんの49日だった24日に、急遽思い立ってハロウィンパーティーをしました。まるさんも参加してくれたでしょうか？ The 24th was Maru’s 49th day memorial after passing. ""If it's today, Maru might join the Halloween party!"" I suddenly thought so and held an early Halloween party that day.  このチャンネルのメンバーになって特典にアクセスしてください: https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats",2025-10-31T12:01:01Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT6M55S,15275,2590,222
Auc7vPdI2LY,イノシシ被害に遭った猫花壇とはなの様子について。 -Cat flower bed that was damaged by a wild boar and recent state of Hana.-,"ススキでフクロウを作りました。そして少し体調を崩していたはなですが、元気を取り戻しました！ Owl made from Japanese pampas grass. And Hana was feeling a little under the weather, but she got her energy back!   このチャンネルのメンバーになって特典にアクセスしてください: https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats",2025-10-28T12:00:22Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT4M38S,52907,4824,303
6crIkqN-jic,まるさんの思い出１。-Memories of Maru 1.-,"1才～2才頃のまるさんです。寡黙なのに、やることが超騒々しい！　まるさんにはたくさん驚かされたし、笑わされました。楽しい思い出！ Maru around 1~2 years old. Maru is quiet, but he is very noisy! Maru surprised me a lot and made me laugh. Happy memories!  このチャンネルのメンバーになって特典にアクセスしてください: https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats",2025-10-24T12:00:15Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT13M2S,102606,9847,847
WWJ_DwmJbMo,"まるさんお気に入りの猫花壇に降臨した”不屈の精神”。-The ""Indomitable Spirit"" descended on Maru's favorite cat flower bed.-","月命日後、まるさんからのサプライズ？　After the monthly anniversary of Maru’s death,  it is a surprise from Maru?  このチャンネルのメンバーになって特典にアクセスしてください: https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats",2025-10-18T12:00:55Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT7M10S,45784,4607,280
CSZG9LCrTtk,お月見会をしていたら何かを感じ取ったはな。-Hana sensed something at the moon viewing party.-,"10月6日はまるさんの月命日でもあり中秋の名月でもあったので、庭にススキを飾って、昼間のお月見会をしました。October 6th was the Mid-Autumn Moon and the monthly anniversary of Maru’s death. I decorated the garden with pampas grass and Hana&Miri enjoyed snacks. It’s daytime and the moon is not out, but it’s a moon viewing party.  このチャンネルのメンバーになって特典にアクセスしてください: https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats",2025-10-11T12:00:23Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT7M4S,70408,6944,559
77xIWv3lhRo,9月のお庭とはなとみり。-September garden and Hana&Miri.-,暑さが長引いた9月。庭で遊んだり、のんびり過ごすはなとみりです。 The heat lingered in September.　Hana&Miri played and relaxed in the garden.  このチャンネルのメンバーになって特典にアクセスしてください: https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats,2025-10-04T12:00:22Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT4M54S,75131,7344,474
mFeJljIVO0I,まるさんお気に入りの猫花壇。-Maru's favorite flower bed.-,まるさんお気に入りの猫花壇をお散歩するはなとみり。コキアも少しふっくらしてきました。Hana&Miri walk in the Maru's favorite flower bed. And Kochia grew a little.  このチャンネルのメンバーになって特典にアクセスしてください: https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats,2025-09-27T12:01:34Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT4M22S,76430,7229,512
I_JxWMfMwZc,はなとみりの様子。-Recent state of Hana&Miri.-,はなもみりも、まるさんが良くいた場所にいることが増えました。Hana&Miri are more often in the places where Maru used to be.   このチャンネルのメンバーになって特典にアクセスしてください: https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats,2025-09-20T12:00:29Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT5M30S,161677,14399,1460
5RJZbLSjM9g,今年も”不屈の精神”を愛でていたまるさん。-Maru loved “Indomitable Spirit”again this year.-,"今日はまるさんの初七日。 8月27日に撮影した、まるさんが今年も”不屈の精神”を愛でていた動画です。 ”不屈の精神”　はハキダメギクの花言葉で、今年は去年よりもたくさん咲いていました。 This is a video taken on August 27 of Maru loving her ""Indomitable Spirit"" again this year. ""Indomitable Spirit"" is the flower language of Shaggy Soldier, and there were more flowers this year than last year.  このチャンネルのメンバーになって特典にアクセスしてください: https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats",2025-09-11T23:00:09Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT1M24S,152744,11594,1401
mzk1epVITPM,雨の日にはブランコでのんびりと過ごすねこ。-Maru relaxes on the swing on rainy days.-,"みんなで寛いだり、お気に入りの遊びをしたり、雨の日にはブランコで寛いだりなまるさん。 Maru&Hana&Miri relax together, they play their favorite games, and Maru relaxes on the swing on rainy days.  メンバーシップに登録すると限定動画を見ることができます↓： https://www.youtube.com/channel/UCRVruzlQF5cqpw9jQgIgNdw/join  #猫 #まる #cats",2025-09-04T12:01:34Z,まる|猫動画|I am Maru|私信まる|Maru|スコティッシュ,#猫|#まる|#cats,PT4M26S,147892,8620,1286
