video_id,title,description,published_at,tags,hashtags,duration,view_count,like_count,comment_count
HG0F14Yl4zo,Two Cats Meet for the First Time - To Have Kittens!,"Ada is ready to have a new litter of kittens and Rhaegal is here to help her with that!  Rhaegal is Dexter's son, raised by another breeder, and he is not related to Ada at all.  For more videos with my Maine Coons, take a look at my other channel:  https://www.youtube.com/@Maine_Coon_Adventures  The kittens have released their own merch collection! Take a look here to see all the products: 👉 https://mcomerch.com You will also find merch from Uncle Buster there 😸  Chapters: 0:00 Rhaegal Is Here! 1:36 The First Sniff Through the Door 2:58 Ada Enters the Room 3:48 Ada Is Grumpy 5:30 They're Getting Used to Each Other 8:19 Ada Takes a Short Break 9:12 Love Is in the Air",2025-12-07T00:33:27Z,,,PT10M3S,18310,1271,429
StxVxZJByHQ,How to eat politely #mainecoon #cat #tablemanners,Maine Coon cat Midas knows how to eat politely. Thanks to his family for sending the video!,2025-12-06T21:24:36Z,,,PT29S,7587,703,69
pQeWzGaB25k,"What Happened to You, Iris?!","Irs had an abscess that has almost heealed, be she still has to wear the cone. Luckily, she is a master and can do anything with the cone on!  For more videos with my Maine Coons, take a look at my other channel:  https://www.youtube.com/@Maine_Coon_Adventures  The kittens have released their own merch collection! Take a look here to see all the products: 👉 https://mcomerch.com You will also find merch from Uncle Buster there 😸  Chapters: 0:00 Iris Shows Off Her Cone! 6:09 Explaining Why Iris Has the Cone 7:50 Iris Can Jump, Play, Climb and Drink! 13:04 All the Cats Are Curious 14:34 Iris Is Back In Grandma's House",2025-12-02T01:02:22Z,,,PT15M32S,25670,1737,319
HXJRIjuAwAQ,Uncle Buster Visits Clara and Brock!,"Uncle Buster goes to visit Clara and Brock! What will happen when Buster comes in to this new place and meet all the cats and other animals on the farm?  For more videos with my Maine Coons, take a look at my other channel:  https://www.youtube.com/@Maine_Coon_Adventures  The kittens have released their own merch collection! Take a look here to see all the products: 👉 https://mcomerch.com You will also find merch from Uncle Buster there 😸  Chapters: 0:00 Traveling With Buster 1:14 Brock Welcomes Us! 2:03 The First Close Meeting 3:41 Buster Explores the House 5:14 Buster Meets the Dog, Ludde! 6:12 Clara Doesn't Trust Uncle Buster Yet... 8:14 Buster Meets Chickens 9:30 Simba Is Afraid of Buster! 10:02 The Cats Go to the Forest",2025-11-23T16:48:20Z,,,PT10M41S,16977,1021,173
44-dlJEvlE0,Grandma Cat Meets Her Son and Granddaughter!,"Maine Coon cat Freya goes to visit her son, Galileo, and her granddaugher, Merritt! Will mother and son recognise each other and what will grandkitten Merritt do when she meets her grandma?  For more videos with my Maine Coons, take a look at my other channel:  https://www.youtube.com/@Maine_Coon_Adventures  The kittens have released their own merch collection! Take a look here to see all the products: 👉 https://mcomerch.com You will also find merch from Uncle Buster there 😸  Chapters: 0:00 Let's Go to Your Son and Granddaughter, Freya! 1:05 In Galileo's Home 1:52 Mother and Son Meet Each Other 5:40 Granddaughter Merritt's Turn! 8:00 Merritt's Mom, Mia, Is Coming 11:06 Freya and Galileo Meet Again 12:00 Goodbye, Everyone 12:30 Back Home With Freya 13:55 Freya Wants to See Her Son Again?",2025-11-17T17:30:08Z,,,PT14M49S,26805,1379,233
PY6NvilT0Lk,How to drink properly #mainecoon #cat,Maine Coon cat Midas knows how to drink properly! See the full video Midas's visit to his old cat family here: https://youtu.be/vShqOt9xQm4,2025-11-04T16:18:48Z,,,PT26S,24290,1692,142
vShqOt9xQm4,Midas Returns Home to See His Family Again!,"Maine Coon cat Midas moved to a new home when he was a little kitten and hasn't seen his old cat family since then. He is a big cat now and it's time for him to come back to visit for a couple of days. Will the cats recognize each other after almost a year apart?  For more videos with my Maine Coons, take a look at my other channel:  https://www.youtube.com/@Maine_Coon_Adventures  The kittens have released their own merch collection! Take a look here to see all the products: 👉 https://mcomerch.com You will also find merch from Uncle Buster there 😸  Chapters: 0:00 Midas - 5 Weeks Old 0:31 1 Year Later - Midas Is Back! 6:01 The Next Day - Midas Feels at Home! 8:22 Sister Iris Is Coming 10:09 A Cozy Night With Sweet Midas 13:11 The Last Day 14:31 Close Meetings On the Cat Wall 17:23 Great Grandma Luna Is a Bit Scary... 18:32 Time to Say Goodbye",2025-11-04T01:44:45Z,,,PT19M17S,43299,1864,304
C8qQBjC7ozs,Paws #mainecoon #cat #jaws,Luna is scary... See the full video of Icarus visitng his old family here: https://youtu.be/4zN0cnN2hDw,2025-10-31T16:31:36Z,,,PT22S,34714,1675,128
A7VQKDkm5O0,Cat Siblings Meet After 8 Months Apart!,"Maine Coon kittens Icarus, Midas, Achilles and Iris moved to separate homes 8 months ago. Now it's time for three of them to meet again and reunite in their old home for the first time since then! How will they react when they meet and will they recognize each other?  Achilles couldn't make it for this reunion. Maybe he can be here next time!  For more videos with my Maine Coons, take a look at my other channel:  https://www.youtube.com/@Maine_Coon_Adventures  The kittens have released their own merch collection! Take a look here to see all the products: 👉 https://mcomerch.com You will also find merch from Uncle Buster there 😸  Chapters: 0:00 8 Months Ago 0:29 Icarus Meets the Older Cats 2:25 Sister Iris Is Coming! 3:05 Iris and Icarus Meet 7:39 Icarus Is Friends With Everyone (almost) 10:45 Brother Midas Is Coming! 11:50 Midas and Icarus Meet 13:03 Iris and Midas Meet 14:00 Midas Likes Icarus, But the Others Are a Bit Scary! 16:14 Bonding Time for Midas and Iris",2025-10-30T15:39:29Z,,,PT19M32S,140053,3944,623
4zN0cnN2hDw,Grown Up Kitten Reunites With His Parents!,"Icarus moved to his new home when he was a kitten and he has not met his mom and dad since then. But now it's time for him to come back to to visit his parents! How will Mama Ada and Papa Dexter react to seeing their son again and will Icarus recognise his old home? He will also get to meet Grandma Freya, Great Grandma Luna and Uncle Buster of course!  For more videos with my Maine Coons, take a look at my other channel:  https://www.youtube.com/@Maine_Coon_Adventures  The kittens have released their own merch collection! Take a look here to see all the products: 👉 https://mcomerch.com You will also find merch from Uncle Buster there 😸  Chapters: 0:00 Grown Up Icarus Is Coming! 1:04 Meeting Mama Ada 2:13 Meeting Papa Dexter 3:07 Icarus Explores 4:34 Meeting Grandma Freya and Uncle Buster 5:52 Mama Ada Takes a Closer Look 6:59 Freya Is Very Curious About Her Grandson 7:57 Great Grandma Luna Checks Him Out Too! 8:23 Dexter and Icarus Sniff Each Other 9:22 Everyone Is Curious About Icarus 10:16 The Next Day 11:52 One Happy Playful Family!",2025-10-28T00:17:01Z,,,PT13M34S,1301355,29636,1446
