video_id,title,description,published_at,tags,hashtags,duration,view_count,like_count,comment_count
rGTJkqOyGvU,The kitten is eating chicken lage pies!🍗💕#cute #kitten #cat #meow,The kitten is eating chicken lage pies!🍗💕#cute #kitten #cat #meow,2025-12-02T09:45:05Z,,#kitten|#cat|#meow,PT11S,321211,5035,30
F-h8FJg58LU,This kitten breaks the new table mirror🙀💕#cute #kitten #cat #meow,This kitten breaks the new table mirror🙀💕#cute #kitten #cat #meow,2025-11-30T09:45:01Z,,#kitten|#cat|#meow,PT11S,6870736,79502,437
acAqEyxfO6Q,Cat: Oh my God! Did I kill the ball?⚽️💕#cute #kitten #meow #cat #funny,Cat: Oh my God! Did I kill the ball?⚽️💕#cute #kitten #meow #cat #funny,2025-11-28T04:01:00Z,,#kitten|#meow|#cat|#funny,PT15S,53494,1147,22
UayT09ZBGIk,The kitten leap towards you!😻💕#cute #kitten #cat #meow,The kitten leap towards you!😻💕#cute #kitten #cat #meow,2025-11-26T04:01:09Z,,#kitten|#cat|#meow,PT10S,176705,3220,42
cu2tniMxhwo,The kitten leap towards you 😻 💕 #cute #kitten #cat #meow,The kitten leap towards you 😻 💕 #cute #kitten #cat #meow,2025-11-23T04:01:07Z,,#cute|#kitten|#cat|#meow,PT9S,3562529,13612,35
2WSSGkTAKBg,A smooth sea never make a skilled sailor kitten 😸 💖 #cute #kitten #cat #meow,A smooth sea never make a skilled sailor kitten 😸 💖 #cute #kitten #cat #meow,2025-11-23T04:01:06Z,,#cute|#kitten|#cat|#meow,PT13S,79596,1729,20
UeP3M5tqV2A,Cleaning Kitten Paws 🐾 Before Lunch😻💕#cute #kitten #cat #meow,Cleaning Kitten Paws 🐾 Before Lunch😻💕#cute #kitten #cat #meow,2025-11-22T04:01:06Z,,#kitten|#cat|#meow,PT9S,229420,3901,41
AhaoNNdMA3o,The kitten leap towards you 😻 💕 #cute #kitten #cat #meow,The kitten leap towards you 😻 💕 #cute #kitten #cat #meow,2025-11-20T10:45:01Z,,#cute|#kitten|#cat|#meow,PT8S,165100,3415,37
y17VikGnDW4,The kitten loves to comb her hair 😻💕#cute #kitten #cat #meow,The kitten loves to comb her hair 😻💕#cute #kitten #cat #meow,2025-11-20T04:01:08Z,,#kitten|#cat|#meow,PT8S,200696,3647,28
A7PKNwB0QLk,Cute little kitten playing 😻💕#cute #kitten #cat #meow,Cute little kitten playing 😻💕#cute #kitten #cat #meow,2025-11-19T13:49:26Z,,#kitten|#cat|#meow,PT8S,225539,2618,17
