video_id,title,description,published_at,tags,hashtags,duration,view_count,like_count,comment_count
fIqRrsbRtGc,Twilight with a Cat (Behind the Scenes),"This is the fur of a killer, Bella. Here's a behind the scene look at the making of Owlkitty's Twilight",2025-04-02T13:01:05Z,Owl|cat|kitty|awl|kiti|chat|gato|gatto|black|twilight|twilit|twiligth|vampire|green|edit|screen|noir|tightwight|wtilght|thwight|tiwhghtil|tihhtlwt|thwilight,,PT2M10S,182673,11441,570
4tc6h2RGGWM,Twilight (with a cat),Hang on tight spider monkeys! Here's a parody of Twilight (2008) starring OwlKitty!,2025-03-25T12:00:07Z,cat|kat|owkitty|owlcat|gatto|chat|twilight|twilit|twitlitgh|twililght|edit|greenscreen|owlkiitti|owlkitti|awlkitty|kitty|vampire|kristen|stewart|Katze|māo|gato|kot|katze|qitta|katt,,PT1M23S,751441,68216,2991
2sx3FK4BGxM,Barbie with a Cat (Behind the Scenes),Here's the behind the scenes look at the making of our of Barbie Parody starring OwlKitty! #OwlKitty #Barbie #Ken #behindthescenes,2023-11-21T13:00:03Z,BARBI|Barby|ken|owlcat|kitti|gato|black|owlkitti|chat|cat|cta|barb|behind|scenes,#OwlKitty|#Barbie|#Ken|#behindthescenes,PT6M1S,677113,35489,1139
p-Z7CczgXgI,Barbie with a Cat,"A Parody of the Barbie movie, starring OwlKitty #Barbie #OwlKitty #Ken #funny",2023-10-31T12:30:33Z,owlkitti|oalkitty|owlkity|cat|kat|blak|kan|barbi|barb|brabie|barby|parodie|greenscreen|kitti|gatto|chat|gato|kin|owlgkitti|allkitty,#Barbie|#OwlKitty|#Ken|#funny,PT1M18S,3807712,221051,3672
0kO8z5fyr8U,Top Gun with a Cat (Behind the Scenes),"Goodness, Gracious, Great balls of fur! Here's the behind the scenes look at the making of our of Top Gun Parody starring OwlKitty! #OwlKitty #TopGun",2022-11-11T13:00:00Z,Owlkitty|olwkitti|owlktyt|owlkitt|owlcat|owlkat|topgun|top|maverik|cat|kat|gato|chat|funny|parodiu|parodi|green|screen|bts|making|maverokc|tom|cruz,#OwlKitty|#TopGun,PT5M57S,1324338,50202,2197
w3rQ3328Tok,Top Gun with a Cat,A Parody of Top Gun Maverick (and scenes from the original!) starring OwlKitty #OwlKitty #TopGun #topgunmaverick #halloween,2022-10-29T12:00:50Z,Owlkitty|owlcat|kitti|kat|cat|black|nir|chat|owlkitti|topgun|topgam|topguna|topgnu|tpogun|tac|act|aprdoy|parodi|jet|blackcat|cruise|cruse|cruz|avion|gatto|gato|gatti|maverick|mavrick|mavrik|maverik,#OwlKitty|#TopGun|#topgunmaverick|#halloween,PT57S,10576083,312604,8769
ONgEvIuyVtE,Titanic with a Cat (Behind the Scenes),So you wanna go to a real party? Here's a behind the scenes look at the making of OwlKitty's Titanic! #OwlKitty #Titanic #BehindtheScenes,2022-02-20T13:00:59Z,owlkiitty|owlcat|owklitty|kat|chat|gato|noir|black|clak|kitti|titanic|titnaic|tivatn|titanek|tetanek|boat|funny|sfx|lol|meme|leo|loe|dicaprio|decaprio|dicaproi|cute|kiti|trailer|teetanik|titanik,#OwlKitty|#Titanic|#BehindtheScenes,PT7M48S,2571312,113199,3116
kEPfM3jSoBw,Titanic with a Cat,A Parody of Titanic (1997) starring OwlKitty #OwlKitty #Titanic #ValentinesDay,2022-02-13T13:00:24Z,owlkitty|owlkitti|titanic|titani|tetanic|cat|black cat|kitti|gato|owlcat|funny|vfx|greenscreen|leo|leonardo|kat|tiatnic|boat|movie|parodi|parodie|parody|black|blak,#OwlKitty|#Titanic|#ValentinesDay,PT1M8S,20063471,736155,19508
TtIoMT1WX4U,Jurassic Park with a Cat — Behind the Scenes,A look behind the scenes at the making of OwlKitty's Jurassic park #OwlKitty #JurassicPark #BehindtheScenes,2021-11-06T13:00:10Z,owlkitti|owlkit|owklitty|owlkitty|cat|black cat|kat|tac|cta|blak|juurasic|jurasik|jurassicc|parc|pakr|jurassic|green|funny|meme|trex|terx|kitti|owlcat|owlkat,#OwlKitty|#JurassicPark|#BehindtheScenes,PT7M7S,4608533,111106,3150
W85oD8FEF78,Jurassic Park but with a Cat,A Parody of Jurassic Park (1993) starring OwlKitty #OwlKitty #JurassicPark #Halloween,2021-10-31T13:00:13Z,OwlKitty|owlcat|cat|kitti|owlkitti|awlkitty|chat|noir|gato|gatto|owlkit|owl|awl|black|jurassic|Jurrasic|jurasic|jurasik|parc|pak|prak|parodi|greeenscreeen|greeen|screen|vfx|trex|dino|dinosaur|funny|meme,#OwlKitty|#JurassicPark|#Halloween,PT1M15S,54361747,1467221,35865
qAa0XYLCKXA,Jaws + Cat (OwlKitty Behind the Scenes),An inside look at the making of OwlKitty's Jaws #OwlKitty #Jaws #BehindtheScenes  Thank you to Nathan the Beach Cat: https://www.youtube.com/channel/UCjWWkWUW2YlbHgDTbtKEkOw,2021-07-10T12:15:04Z,owlkitti|owlkity|owl|kiti|cat|awlcat|awlkitty|olwkitty|black|blak|kat|chat|noir|gato|funny|behind|scenes|making of|making|green|screen|gren|meme|star|how to|gressn screen|vfx|sfx|special|effects|efects|fx,#OwlKitty|#Jaws|#BehindtheScenes,PT1M47S,1455163,43890,1202
hhmKfpKM8bw,CLAWS! (Jaws OwlKitty parody),A parody of Jaws starring my cat OwlKitty. Happy July 4th! #OwlKitty #Jaws #July4 #sharks,2021-07-04T11:00:25Z,Jaws|jows|jawz|jws|owlkiiy|owlkiti|owlkitti|black cat|owl|alwkitty|olwkitty|olwkitti|dents|mer|shark|requin|sharks|tiburon|beach|cat|kat|black|blakc|blak|kitti|kity|gato|chatt|noir|movie|film|paordy|parodi|parody|funny|meme|july4|july 4th|independenceday|jappy,#OwlKitty|#Jaws|#July4|#sharks,PT1M3S,9620001,277458,7485
V29BO4UR2mc,Godzilla vs. OwlKitty (Behind the Scenes),"A behind the scenes look at the Making of GODZILLA Vs. OWLKITTY #OwlKitty #Godzilla #GodzillaVSKong  Thank you to Jeff Nelson @JeffNelson3000 for the 3D help! https://www.youtube.com/c/JeffNelson3000/featured  Follow us on Instagram to learn more about Max, a.k.a. ""Not our cat"" https://www.instagram.com/stories/highlights/17898330610743483/",2021-03-22T11:45:01Z,cat|black|godzila|godzilla|owlkitty|owlkitti|kitty|owlcat|kat|kit|gozilla|gozila|kong|conk|chat|gatto|gato|noir|funny|meme|parody|lol|green screen|vfx|compositing|animation|3d,#OwlKitty|#Godzilla|#GodzillaVSKong,PT2M16S,4569598,96292,2644
nf7GsKFepDg,Godzilla vs. Cat (OwlKitty Parody),A parody of Godzilla vs. Kong starring my cat OwlKitty. #OwlKitty #Godzilla #GodzillaVsKong,2021-03-20T12:00:35Z,owlkitty|owlkitti|owl kitty|owlcat|cat|gatto|kat|chat|cute|funny|parody|godzilla|gozilla|gozila|godzila|monster|kong|king|cong|gozlla|meme|green|black|gato|noir,#OwlKitty|#Godzilla|#GodzillaVsKong,PT1M12S,39825683,791266,26453
_9MHxiWfTwQ,Indiana Jones with My Cat (Behind the Scenes),An inside look at the making of OwlKitty's Raiders of the Lost Arc Parody #OwlKitty #indianaJones #,2021-01-25T13:15:01Z,owlkitty|owlkiti|owlkitti|kitti|kiti|awlkitty|alwkitty|awlkit|hellokitty|owlcat|owl. cat|cat|black|gatto|gato|chat|making of|behind secens|cesnes|sences|makin|greenscreen|indianajones|indana|jone|indinan|indain,#OwlKitty|#indianaJones|#,PT53S,985132,27000,601
BqYyE2JNMfg,Indiana Jones with My Cat,A Parody of Raiders of the Lost Arc starring my cat OwlKitty #owlkitty #raidersofthelostarc #indianajones,2021-01-23T13:15:00Z,owlkitti|owlkiti|owl kitti|owl kitty|owl|awl|olw|olwkitty|olwkitti|gatto|gato|chat|noir|indiana|jone|indania|indana|funny|greenscreen|parodi|green|cute|belly|cat|bell|belli,#owlkitty|#raidersofthelostarc|#indianajones,PT18S,6893017,235147,3193
gF-JN4fZtX0,Home Alone with my Cat (Behind the Scenes),A behind the scene look at the making of Home Alone with my Cat (an OwlKitty parody). This was lots of fun to shoot! We hope you enjoy. #HomeAlone #OwlKitty #BehindTheScenes,2020-12-17T13:15:00Z,Owlkitty|owlkitti|owl kitty|owl|awl|olw|kitti|kity|gato|chat|chat noir|negor|cat|black|home|hom|alon|homealone|funny|greenscreen|green|parody|kat,#HomeAlone|#OwlKitty|#BehindTheScenes,PT1M52S,5412472,79546,1514
2kppIwA9Bsg,Home Alone with My Cat (OwlKitty Parody),"Merry Christmas, you filthy animals! This is a parody of the holiday classic Home Alone starring my cat OwlKitty. #OwlKitty #HomeAlone #30years",2020-12-14T13:00:01Z,owlkitty|owlkitti|owlgato|owl cat|owl|cat|black cat|home alone|raté|avion|maman|solo|cassa|casa|parody|kat|chat|culkin|owl kitty|hom|alon,#OwlKitty|#HomeAlone|#30years,PT49S,24917011,372149,0
rrjLIytek6o,Cat vs. Debate Fly (Behind the Scenes),A behind the scenes look at the making of our latest video. OwlKitty2020 #OwlKitty #fly #vote,2020-10-11T11:00:23Z,,#OwlKitty|#fly|#vote,PT1M16S,2212053,63240,1502
RyhjdYCJ8fo,OwlKitty Live Stream,,2020-09-13T16:59:54Z,,,P0D,0,0,0
D_HNpheUjBU,American Psycho with Cats (OwlKitty parody),A parody of the business card scene in American Psycho starring my cat OwlKitty and friends :) #OwlKitty #AmericanPsycho,2020-09-02T11:30:03Z,owlkitti|owlcat|black cat|chat|gatto|gato|america psycho|psycko|siko|psicho|americano|meme|funny|compare|phones|cats|kats,#OwlKitty|#AmericanPsycho,PT53S,2288031,100686,1999
vMJtaMbiFZ8,Pulp Fiction with a cat (Behind the Scenes),An inside look at the making of Pulp Fiction starring my OwlKitty,2020-07-15T12:00:17Z,OwlKitty|owl|kitty|owlcat|owlkat|black cat|pulp fiction|purr|tarantino|travolta|lizzy|green screen|chat|gato|noir|puulp|funny|meme|behind scenes|making of|bts,,PT1M5S,558961,18563,367
H7G1yjDfwL4,Pulp Fiction with a Cat,A parody of Tarantino's  Pulp Fiction starring my cat OwlKitty #PulpFiction #OwlKitty #Tarantino #JohnTravolta #SamuelJackson,2020-07-13T11:45:00Z,pulpfiction|tarantino|quenten tarantino|kwentin|owlcat|owl|blackcat|owlly|owlkat|movie cat|killbill|purr fiction|gato|chat|suitcase|briefcase|greenscreen|vfx|editing,#PulpFiction|#OwlKitty|#Tarantino|#JohnTravolta|#SamuelJackson,PT26S,4446889,179110,2963
HWfPUO6Quu0,The Office - OwlKitty (Behind The Scenes),An inside look at the Making of The Office starring OwlKitty #OwlKitty #TheOffice,2020-06-02T11:30:02Z,Owlcat|owl kitty|owl|cat|black cat|office|ofice|owlkity|funny|behindthe scenes|makingof|making of,#OwlKitty|#TheOffice,PT1M1S,952728,18718,291
SqBMohUi9VU,The Office - with a cat (OwlKitty),A parody of The Office starring my cat OwlKitty #theOffice #OwlKitty,2020-05-23T12:00:11Z,owlkitti|owlcat|owl kitty|office|theoffice|black cat|kat|kity|ofice|chat noir|chat|gato|gatto,#theOffice|#OwlKitty,PT40S,2841603,112333,1631
hWgDulvQZlw,Love Actually meets Covid-19,"OwlKitty took the week off so I could make this silly little video. Feel free to repost/retweet it if it makes you laugh. These are weird times, we hope you're staying healthy and safe out there. OwlKitty will be back next week with an amazing new video ♥️  #LoveActually #Covid-19",2020-04-10T11:47:24Z,coronavirus|covid19|owlkitty|owlcat|loveactually|lovveactualy|actualy|kiera knightley|funny|mask|social distancing|distancing|social|meme,#LoveActually|#Covid-19,PT1M19S,255749,10716,368
dbvMeQznVeY,My Dream Quarantine... (50Shades +OwlKitty),Fully stocked with everything I need ♥️ — A parody starring my cat OwlKitty. #adoptdontshop #sheltercat #owlkitty #50shadesofgrey #stayhome #stayhomestaysafe #couplegoals And now more than ever: #AdoptDontShop,2020-03-26T16:07:18Z,owlcat|owl kitty|awl|cat|black cat|50shades|fifty|grey|gray|shade|parody|funny|quarantine|quaranteen|kwarantine,#adoptdontshop|#sheltercat|#owlkitty|#50shadesofgrey|#stayhome|#stayhomestaysafe|#couplegoals|#AdoptDontShop,PT18S,1184841,37510,811
Nhuf-wS1CbI,If Geralt had a Cat (OwlKitty + Witcher),A parody of Netflix's The Witcher starring my cat OwlKitty #OwlKitty #TheWitcher #Netflix #Witcher,2020-03-22T11:30:02Z,Witsher|gerald|cat|blackcat|owlcat|owlkitty|owl kat|caute|funny,#OwlKitty|#TheWitcher|#Netflix|#Witcher,PT50S,6445185,201480,3411
LwXYI-KzaW0,Inside the OwlKitty Studio,A behind the scenes look from our local news show MORE GOOD DAY OREGON on KPTV Fox12. Interview by Molly Riehl,2020-03-05T12:00:03Z,,,PT3M53S,334168,11982,336
dTsp9khyBWo,OwlKitty - Behind the Scenes (Ghost + 1917),A behind the scenes look at the making of OwlKitty's Ghost and OwlKitty's 1917 #OwlKitty #BehindtheScenes #Ghost #1917Movie,2020-02-16T20:27:10Z,owlkitty|owl kitty|kitty|cat|awl|behind the scenes|making of|making|greenscreen|vfx|chat|noir|gato|ghost|swayze|unchained melody,#OwlKitty|#BehindtheScenes|#Ghost|#1917Movie,PT50S,4086310,42879,534
-Rq29YX_-E8,OwlKitty's Unchained Melody (Ghost),A quick parody of the movie Ghost starring OwlKitty Happy Valentine's Day #OwlKitty #Ghost #Valentines #UnchainedMelody,2020-02-14T14:06:26Z,owlkitty|owl kitty|owl cat|black cat|ghost|valentine's day|valentine|funny|meme|swayze|demi moore|unchained melody,#OwlKitty|#Ghost|#Valentines|#UnchainedMelody,PT14S,2547893,75415,2099
XiI4OgMYAP0,OwlKitty Oscars 2020 (Joker - Parasite - 1917),"The 2020 Academy Oscars starring Owlkitty in Joker, Parasite, and 1917. #Oscars2020 #Joker #Parasite #1917 #OwlKitty",2020-02-13T23:45:37Z,cat|black cat|oscars|oscars2020|joker|parasite|1917|movies|owlkitty|owlcat|owl kitty|funny|vfx,#Oscars2020|#Joker|#Parasite|#1917|#OwlKitty,PT57S,1253112,53354,1037
Bu9ZqJVXcrY,Super Smash Bros. + @OwlKitty (Behind the Scenes),An inside look at the making of the new Super Smash Bros' DLC starring my cat OwlKitty #OwlKitty #SSB #MakingOf #SmashBros #BehindtheScenes,2020-02-05T13:45:01Z,SmashBros|Owlcat|owl cat|owl kitty|cat|smash,#OwlKitty|#SSB|#MakingOf|#SmashBros|#BehindtheScenes,PT1M5S,811146,15831,307
35MNFLkSyf0,Smash Bros with a Cat,Super Smash Bros. Ultimate meets my cat OwlKitty. The videogame mashup we've all been waiting for and the best DLC to never come out. #SSBU #SuperSmashBros #OwlKitty,2020-02-01T15:00:00Z,ssbu|owlkitty|black cat|smash|ultimate|super smash|bros|kitty|owl|cat|cute|funny|meme|green screen|video games|E3|trailer|reveal|DLC|new|nintendo|parody|spoof|#twitch,#SSBU|#SuperSmashBros|#OwlKitty,PT40S,2931364,89167,2034
tGTLRfA0fhM,E.T. + My cat OwlKItty (Behind the Scenes),A behind the scenes look at OwlKitty's E.T. #OwlKitty #ET,2020-01-18T15:00:16Z,,#OwlKitty|#ET,PT1M20S,671282,15095,247
d0_N6seQqes,When you take your cat to the vet (E.T. + my cat OwlKitty),A parody if Spielberg's E.T. starring my cat OwlKitty #OwlKitty #ET,2020-01-16T14:00:07Z,,#OwlKitty|#ET,PT31S,2912067,78521,1270
bOA0mnyUOME,Love Actually with a cat (Behind the Scenes),An inside look at the making of OwlKitty's Love Actually #OwlKitty #LoveActually #BehindTheScenes,2019-12-16T16:00:05Z,OwlKitty|owl kitty|owl|cat|love|love actually|actualy|owlcat|behind the scenes|making of|cute|black cat,#OwlKitty|#LoveActually|#BehindTheScenes,PT1M18S,246216,9415,229
WavYF1O9pTs,Love Actually but with a cat (OwlKitty Parody),A Parody of Love Actually starring my cat OwlKitty #owlkitty #christmas #loveactually,2019-12-14T14:00:02Z,love actually|owlkitty|love|actually|cat|owl|kitty|purrfect|andrew lincoln|christmas|cute|funny|vfx|greenscreen,#owlkitty|#christmas|#loveactually,PT1M6S,3874434,118172,3143
jmanlUGWnoM,OwlKity as Baby Yoda (Behind the Scenes),A quick look at the making of OwlKitty's The Mandalorian parody. #OwlKitty #starwars #TheMandalorian #babyYoda,2019-12-05T14:00:12Z,star wars|owlkitty|owl kitty|owl|kitty|madalorian|baby yoda|yoda|cute|vfx|making of|behind the scenes,#OwlKitty|#starwars|#TheMandalorian|#babyYoda,PT48S,265048,9046,186
dh4uUt3Bbjs,If Baby Yoda was a Cat (Mandalorian + OwlKitty),A Parody of Star Wars: The Mandalorian starring my cat OwlKitty #OwlKitty #StarWars #TheMandalorian #BabyYoda,2019-12-01T15:00:09Z,star wars|Mandalorian|baby yoda|owl kitty|owlkitty|owl|cat|black cat|funny|vfx|green screen|episode ix|george lucas|yoda|skywalker,#OwlKitty|#StarWars|#TheMandalorian|#BabyYoda,PT1M23S,8582309,245016,3482
8pBkz_MBx00,OwlKitty in Vogue (Madonna),"A parody of Madonna's Vogue by the real queen of pop, OwlKitty. #vogue #madonna #OwlKitty",2019-11-23T17:11:02Z,vogue|madonna|owlkitty|black cat|owl kitty|owl|kitty|like a prayer|parody|green screen|funny|cute|diva|black and white,#vogue|#madonna|#OwlKitty,PT1M4S,2587664,86524,2678
5Lt3alnMKBs,Risky Business with my cat (OwlKitty parody),When your cat makes an entrance... An OwlKitty parodyof the movie Risky Business #OwlKitty,2019-11-09T18:56:49Z,Owlkitty|owl|kitty|risky|business|tom cruise|risky business|sliding|hardwood|funny|meme|black cat|cat|cute,#OwlKitty,PT36S,1315541,42059,831
nMWo62jWVAo,Black cat runs of football field (Behind the Scenes),An inside look at the making of our latest video #OwlKitty #MNF #BlackCat,2019-11-07T22:46:44Z,OwlKitty|Owl kitty|owl|kitty|black cat|cat|football|behind the scenes|bts|making of|mnf|cowboys|NYGiants|giants,#OwlKitty|#MNF|#BlackCat,PT56S,1292816,57459,428
Qn5-xchPzGk,Black Cat Scores Touchdown (Giants - Cowboys Game),OwlKitty strikes again. #blackcat #giants #cowboys #football,2019-11-05T12:19:17Z,owlkitty|giants|football|touchdown|black cat|cat|kitty|owl cat|black|td|scores|funny|meme,#blackcat|#giants|#cowboys|#football,PT15S,6661244,95558,3607
7E-8DsGrpb0,OwlKitty: The Adoption Story,Have you ever wondered where we adopted Lizzy? Get the whole story here. #adoptdontshop,2019-11-03T17:42:18Z,OwlKitty|owl|kitty|cat|black cat|movie cat|adoption|adoptdontshop|adopt|cat adoption team,#adoptdontshop,PT5M31S,980015,51835,2658
PEqJjzN4J7s,Purranormal Activity (with my cat OwlKitty),A parody of Paranormal Activity starring my cat OwlKitty #Halloween #OwlKitty,2019-10-31T12:34:34Z,OwlKitty|paranormal activity|purranormal|cativity|Owl|kitty|cat|black cat|parody|funny|when you can't sleep|cat keeps you up|paranormal|owlcat,#Halloween|#OwlKitty,PT1M2S,3715116,136924,4653
MIkxDXyNgAU,The Shining + My cat (HD),A Parody of the Shining and my cat OwlKitty,2019-10-27T01:59:46Z,OwlKitty|owl kitty|owl|cat|shining|the shining|cute|funny|meme|halloween|black cat|parody,,PT19S,2841350,88982,1487
msLtodrQdKE,If Walter White had a Cat,A Breaking Bad Parody starring my cat OwlKitty,2019-10-23T18:33:48Z,OwlKitty|Breaking Bad|cat|black cat|walter white|el camino|cute|funny|parody|owl kitty|owl cat|Bryan Cranston|kitty|chat noir|breaking,,PT50S,4530447,318542,5015
qDer-LnEOXA,Lord of the Rings + OwlKitty (Behind the Scenes),A behind the scenes look at the making of OwlKitty's The Lord of the Rings parody #owlkitty #lotr,2019-10-14T15:58:25Z,owlkitty|owl cat|owl|kitty|cute|black cat|lotr|lord of the rings|hobbit|gandalf|green screen|bts|making of|behind thescenes,#owlkitty|#lotr,PT1M,397918,10913,188
1mf06IwdpVM,Lord of the Rings + My Cat,A Parody of The Lord of the Rings starring my cat OwlKitty #owlkitty #lotr #hobbit #cat,2019-10-13T18:38:34Z,owlkitty|owl kitty|black cat|cat|lord of the rings|lotr|funny|movie cat|owl cat|owl|cute|green screen|hobbit,#owlkitty|#lotr|#hobbit|#cat,PT1M14S,14171283,390743,5569
