video_id,title,description,published_at,tags,hashtags,duration,view_count,like_count,comment_count
F8WJ3FH-q-A,Strange creature is stalking me😬,,2025-11-24T15:00:25Z,,,PT43S,338411,4689,37
VXPTtSPNNKQ,Accidentally stained a T-shirt with paint😬,,2025-10-19T08:00:36Z,,,PT24S,7826906,48959,107
ZZaqsTwkcp4,My cat Nika is very jealous😵‍💫,,2025-09-26T10:01:12Z,,,PT32S,79643933,656384,994
38dxuRgmhqI,Cat Nika lost her love💔,,2025-09-16T16:40:00Z,,,PT56S,131279427,1612673,12787
nBgmJbaPaYg,Nika dreams of a cat house😍,,2025-09-08T17:25:01Z,,,PT38S,90570240,948753,3456
npEGRDpduAs,Be kind to stray animals🩷,,2025-08-25T04:05:00Z,,,PT38S,19032355,171223,595
gvo1uXkcQp4,Do you care about stray animals?🥺,,2025-08-10T05:25:01Z,,,PT31S,185440728,1781405,5205
N989MFa5Oo8,Nika lost her best friend🥹,,2025-08-03T06:00:29Z,,,PT25S,42888749,346692,817
cICAZCD9WhU,Are you afraid of snakes? #cat #cats,,2025-06-12T15:00:59Z,,,PT22S,14645944,148882,386
4a_ry13zA44,She took in a stray cat🥹 #cat #cats,,2025-05-08T11:30:03Z,,,PT38S,39483766,706973,5016
xpzt_z30apU,My cat run away from me🥹 #cat #cats,,2025-04-24T14:30:40Z,,,PT44S,82297561,604869,655
1BaP6eXwPp0,The cat turned out to be smarter than me🥲 #cat #cats,,2025-04-08T07:00:00Z,,,PT24S,106812351,688853,656
0kUu_IgoZEk,Nika became my hero🥹 #cat #cats,,2025-03-25T12:30:01Z,,,PT22S,8662830,84585,621
5Xvbnwi69rs,Why did he do this?🙀 #cat #cats,,2025-03-16T09:00:11Z,,,PT19S,17710989,172623,141
0Z-nQN4t5bQ,My cat Nika tried to save me #cat #cats,,2025-03-06T09:00:02Z,,,PT22S,166130057,2460937,13138
5Cw16Pmtwzc,My cat wants a mini bed😻 #cat #cats,,2025-02-24T07:00:06Z,,,PT24S,28859224,610791,2168
