video_id,title,description,published_at,tags,hashtags,duration,view_count,like_count,comment_count
eV65lRiyp_4,This bothers me,,2025-12-08T00:26:47Z,,,PT1M30S,12692,4347,175
eGWV8T64O68,My cat is on a hunger strike,,2025-12-06T00:01:19Z,,,PT1M18S,117912,15112,688
UJUJfpr8kaM,This is the worst smelling thing I love,,2025-12-03T23:06:25Z,,,PT54S,78208,9923,216
bEWKuOepkkQ,My cat is trying to speedrun life,,2025-12-03T00:06:36Z,,,PT1M22S,187910,21251,483
VRFoe4-2NC0,Why can’t my cats be cool,,2025-12-01T23:58:14Z,,,PT1M8S,93070,13675,394
EZu41CtDPBg,I’m not putting him in my room,,2025-11-29T20:13:56Z,,,PT1M16S,167867,23065,733
KGQRqwNHmzc,I made a pumpkin pie for my cats,,2025-11-27T21:47:39Z,,,PT1M13S,185649,20340,416
jfC-ltC_8Xo,He already forgot what he did,,2025-11-25T22:12:29Z,,,PT1M23S,226536,25668,516
dZwwsTCqYoA,Here’s a few ways to help your cat’s diet,,2025-11-24T20:56:30Z,,,PT1M14S,57899,8286,297
oa7VchO80FA,My cat eats all the wrong things,,2025-11-23T00:29:05Z,,,PT1M3S,161716,19375,434
3bUakWT7qDo,We got ANOTHER #HHOLOVEpartner,@hholove_global  Use our link! https://link.hholove.com/s/mNxUnGv Code HOH68 for an extra discount!  #HHOLOVE #catlitterbox #cattips #catmom #catlover #catlife,2025-11-20T21:02:17Z,,#HHOLOVE|#catlitterbox|#cattips|#catmom|#catlover|#catlife,PT56S,111547,10582,193
IIzqDcDQong,I’m not taking him to the vet,,2025-11-19T22:46:48Z,,,PT1M11S,422656,39451,1090
ZgwQxiZys0M,RANKING Pet Air Purifiers,"#oneisall #petairpurifier #blackfriday #deal #petdeal #petlife #petsolutions  OneIsAll: All platforms offer price drops up to 55% OFF on Pet Air Purifier, and the Official Store allows additional use of the discount code (Code: YONEISALL)—don’t miss out, click links to shop! （1）US Amazon: https://www.amazon.com/dp/B0FJR4NBWZ?maas=maas_adg_BECE4D928F9DA4480A2A4AE355EFD197_afap_abs&ref_=aa_maas&tag=maas （2）Official Store: https://oneisallinc.pxf.io/RGB0KR Official Store 20% OFF Code：YONEISAL  ALROCKET: https://www.walmart.com/ip/seort/5937385846  Levoit: https://levoit.com/products/core300-p-air-purifier",2025-11-19T19:13:47Z,,#oneisall|#petairpurifier|#blackfriday|#deal|#petdeal|#petlife|#petsolutions,PT5M27S,5134,670,52
unugyp25fu4,Update on the tuna situation,,2025-11-18T21:10:00Z,,,PT1M7S,2367211,139802,2182
sdqRyrTLQPk,She’s massive,,2025-11-17T23:21:12Z,,,PT38S,260716,26354,532
Fw5B5YKzjXU,Why is she like this @petkitofficial #petkitpartner #petkit #purobotcrystalduo #automaticlitterbox,@petkitofficial  Purobot Crystal Duo! - https://www.kqzyfj.com/click-101460265-17052917,2025-11-17T18:14:34Z,,,PT47S,107986,9618,234
puBz3xj9pVo,My cat regrets asking for a sister,,2025-11-16T00:52:45Z,,,PT1M7S,222052,25312,331
