video_id,title,description,published_at,tags,hashtags,duration,view_count,like_count,comment_count
lo94hD-heV0,Cat Chaos Caught On Camera!,"Come and Take Your Dose of Cats! In this video, cat chaos is caught on camera.  Enjoy a dose of funny cat moments with these amazing cat videos! These cute and heartwarming cat moments will make your day! 😻  ❤️ TakeYourDoseOfCats captures the funniest, sweetest, and most lovable cat moments! From silly mischief to pure affection. Be part of our cat-loving community and enjoy even more adorable feline adventures! ✨ Subscribe for your daily dose of cats → https://www.youtube.com/@TakeYourDoseOfCats?sub_confirmation=1 🎬 Want your cat featured? Submit clips on Discord → https://discord.gg/QFWhnJrSX3  Clips are shared respectfully with full credit to their owners.  #cat #catvideos #takeyourdoseofcats",2025-11-20T14:01:21Z,cats|cat|dailydoseofinternetcats|funny cats|animals|cats video|cat video|cats videos|cat videos|daily dose of internet cats|daily dose of cats|funny animals|takeyourdoseofcats|take your dose of cats|cat videos funny,#cat|#catvideos|#takeyourdoseofcats,PT8M12S,2864,153,7
L__2SfN05CQ,Cats Doing the Funniest Things Ever,"Come and Take Your Dose of Cats! In this video, cats are doing the funniest things ever.  Enjoy a dose of funny cat moments with these amazing cat videos! These cute and heartwarming cat moments will make your day! 😻  ❤️ TakeYourDoseOfCats captures the funniest, sweetest, and most lovable cat moments! From silly mischief to pure affection. Be part of our cat-loving community and enjoy even more adorable feline adventures! ✨ Subscribe for your daily dose of cats → https://www.youtube.com/@TakeYourDoseOfCats?sub_confirmation=1 🎬 Want your cat featured? Submit clips on Discord → https://discord.gg/QFWhnJrSX3  Clips are shared respectfully with full credit to their owners.  #cat #catvideos #takeyourdoseofcats",2025-11-16T14:00:36Z,cats|cat|dailydoseofinternetcats|funny cats|animals|cats video|cat video|cats videos|cat videos|daily dose of internet cats|daily dose of cats|funny animals|takeyourdoseofcats|take your dose of cats|cat videos funny,#cat|#catvideos|#takeyourdoseofcats,PT7M49S,6530,239,12
-GmhGfCl3_4,You'll Want a Cat After Watching This,"Come and Take Your Dose of Cats! In this video, you'll want a cat after watching this.  Enjoy a dose of funny cat moments with these amazing cat videos! These cute and heartwarming cat moments will make your day! 😻  ❤️ TakeYourDoseOfCats captures the funniest, sweetest, and most lovable cat moments! From silly mischief to pure affection. Be part of our cat-loving community and enjoy even more adorable feline adventures! ✨ Subscribe for your daily dose of cats → https://www.youtube.com/@TakeYourDoseOfCats?sub_confirmation=1 🎬 Want your cat featured? Submit clips on Discord → https://discord.gg/QFWhnJrSX3  Clips are shared respectfully with full credit to their owners.  #cat #catvideos #takeyourdoseofcats",2025-11-12T14:00:01Z,cats|cat|dailydoseofinternetcats|funny cats|animals|cats video|cat video|cats videos|cat videos|daily dose of internet cats|daily dose of cats|funny animals|takeyourdoseofcats|take your dose of cats|cat videos funny,#cat|#catvideos|#takeyourdoseofcats,PT7M53S,14027,588,22
HYqaTbVot88,Did This Cat Outsmart Everyone? 🙀,😺 Funny Cats & Cute Kittens Compilation #shorts  In today’s short: Watch a smart kitty outsmart everyone!  ❤️ Love what you see? Hit subscribe & join the community of cat-lovers. 👉 Every video is crafted with care and shared respectfully with credit to the original creators.  🎥 Featured creators: @mervthecat • @soba88.dq60 • @roxycakes17 • @catclipshq • @that.so.sammie2 • @hell.nah065 • @axel_the_orange_cat • @jfxgw • @kittykwi08  Thanks for supporting the cats & have a pawsome day!,2025-11-10T14:00:35Z,,#shorts,PT1M,196153,12589,120
tH1Pcc78bag,This Cat Loves Backflips 😱,😺 Funny Cats & Cute Kittens Compilation #shorts  In today’s short: Watch a fearless cat doing backflips!  ❤️ Love what you see? Hit subscribe & join the community of cat-lovers. 👉 Every video is crafted with care and shared respectfully with credit to the original creators.  🎥 Featured creators: @luigivalbar • @kittiesinternet • @rhuuutbeer • @hj.two • @c2s.rpm • @babysageeeeeeee • @timmythechonk • @puppiesiover • @romiromeoromi  Thanks for supporting the cats & have a pawsome day!,2025-11-09T14:01:32Z,,#shorts,PT1M,335180,22779,334
Ek17VwHHdww,The Most Expressive Cats Ever 😸,😺 Funny Cats & Cute Kittens Compilation #shorts  In today’s short: Watch the most expressive cats ever!  ❤️ Love what you see? Hit subscribe & join the community of cat-lovers. 👉 Every video is crafted with care and shared respectfully with credit to the original creators.  🎥 Featured creators: @bharbiegirlworld • @sunderbunny123 • @hersheys_still_home • @coco_barrio • @oshiemoon • @ledy_cs • @corduroyboyy • @its.sayann • @soba88.dq60  Thanks for supporting the cats & have a pawsome day!,2025-11-08T14:00:33Z,,#shorts,PT1M,197735,13634,118
XfT9O_nZ_MA,You Won't Believe What This Kitten Did 😹,😺 Funny Cats & Cute Kittens Compilation #shorts  In today’s short: Watch a very naughty cat doing silly things!  ❤️ Love what you see? Hit subscribe & join the community of cat-lovers. 👉 Every video is crafted with care and shared respectfully with credit to the original creators.  🎥 Featured creators: @sol_ms_ • @kira_labebechucky • @allytemsey • @tuithichngu • @stinkyystevie • @zarahccramx • @itssjennykz • @danielmun22 • @kittybasecamp  Thanks for supporting the cats & have a pawsome day!,2025-11-07T14:01:06Z,,#shorts,PT1M,537912,32591,248
rLr6zohIkss,Cats With The Funniest Reactions Ever 😻,😺 Funny Cats & Cute Kittens Compilation #shorts  In today’s short: Watch cats with the funniest reactions ever!  ❤️ Love what you see? Hit subscribe & join the community of cat-lovers. 👉 Every video is crafted with care and shared respectfully with credit to the original creators.  🎥 Featured creators: @iamrigbycat • @c0tikt0k • @kavir7_ • @catclipshq • @jayyytt._ • @b0000q • @philll97 • @saintjrobinson • @cheerypaws  Thanks for supporting the cats & have a pawsome day!,2025-11-06T14:01:28Z,,#shorts,PT1M,379142,23097,188
w6OdhVN0GaQ,This Cat's Secret Life Revealed 🙀,😺 Funny Cats & Cute Kittens Compilation #shorts  In today’s short: Watch this cat's secret life get revealed!  ❤️ Love what you see? Hit subscribe & join the community of cat-lovers. 👉 Every video is crafted with care and shared respectfully with credit to the original creators.  🎥 Featured creators: @giovanni.brugnoli • @user012147011 • @charlotte.jacobsxo • @thefakenicktillinghast • @pashua_is_king • @joana_grfr • @philll97 • @whatawaste999 • @veras_ok  Thanks for supporting the cats & have a pawsome day!,2025-11-05T14:01:39Z,,#shorts,PT1M,59920,4458,47
4Sjq60G7Wds,This Cat Can't Hide His Excitement 😻,😺 Funny Cats & Cute Kittens Compilation #shorts  In today’s short: Watch this cat who can't hide his excitement!  ❤️ Love what you see? Hit subscribe & join the community of cat-lovers. 👉 Every video is crafted with care and shared respectfully with credit to the original creators.  🎥 Featured creators: @blooptybloop • @ghost10105 • @haileyluvzyou • @jenncuff4 • @mochithebengal • @gl0w.bloom • @dianacorley • @thelettermfamily • @choonduck.e  Thanks for supporting the cats & have a pawsome day!,2025-11-04T14:00:14Z,,#shorts,PT1M,188577,12261,81
