video_id,title,description,published_at,tags,hashtags,duration,view_count,like_count,comment_count
EEXrVyaYF9c,His invisibility spell is obviously working 😅 #cat #cuteanimal #cutecat #catvideos #cute #cats #pets,,2025-12-05T21:13:01Z,,,PT8S,197521,14251,281
DdkxuKcykz0,How dare I suggest such a thing 😅 #cat #cuteanimal #cutecat #cute #catvideos #pets #cats #animals,,2025-12-02T21:13:00Z,,,PT22S,225038,19677,353
MU_Nla1krrY,And all of a sudden it was nap time 😅 #cat #cutecat #cute #catvideos #cats #pets #animals,,2025-11-28T21:28:21Z,,,PT7S,803019,30898,309
9NyTD6H3Y40,He does what he wants 😅 #cat #cuteanimal #cutecat #cute #catvideos #cats #pets #animals #funnycats,,2025-11-24T19:04:35Z,,,PT11S,212756,18919,378
jYQ-67a9dN0,The forgiveness is pending 😅 #cat #cuteanimal #cutecat #cute #catvideos #pets #cats #animals,,2025-11-21T21:13:01Z,,,PT23S,185262,19639,472
HkbXUQqfqF8,✨ What's between those ears 2.0 ✨ #cat #cuteanimal #cutecat #cute #catvideos #cats #pets #animals,,2025-11-18T21:32:44Z,,,PT19S,215802,21583,429
NHlqzcPYAvA,Mindcontrol or excellent staring skills 😅 #cat #cuteanimal #cutecat #cute #animals #catvideos #pets,,2025-11-16T21:33:00Z,,,PT12S,579190,29378,428
YFwc5g04i1k,I'll pack my bags for the void 😅 #cat #cuteanimal #cutecat #cute #catvideos #cats #pets #animals,,2025-11-13T21:13:00Z,,,PT13S,228961,16110,303
IlpBTlsb9sw,Everyone needs a snuggle from time to time 🧡✨ #cat #cuteanimal #cutecat #cute #catvideos #cats #pets,,2025-11-11T21:29:23Z,,,PT13S,705072,38991,370
qU44GiWKtEY,He was simply ✨redecorating✨ #cat #cuteanimal #cutecat #cutepet #cute #catvideos #catshorts #pets,,2025-11-09T21:13:00Z,,,PT10S,585934,30297,533
b_R361r8Hfg,"Many have asked, so here they are 😂🧡 #cat #cuteanimal #cutecat #cute #kitten #pets #catvideos #pet",,2025-11-07T19:59:24Z,,,PT13S,1426414,77421,1729
7J7Wd9HMkzc,✨ Walter's Theme Song ✨ #cat #cutecat #cuteanimal #catvideos #cute #pets #cats #animals #catshorts,,2025-11-05T21:15:00Z,,,PT29S,189605,22372,569
igZiOdhGBcA,I think he might know something about it 🤔😅 #cat #cats #catvideos #cute #cutecat #pet #pets #animals,,2025-11-03T21:43:20Z,,,PT15S,488457,27774,467
LON-Mhd9EzI,✨BAKED BEANS✨ #cat #cutecat #catvideos #pet #pets #cats #funnycats #cuteanimal #cutepet #cute,,2025-11-01T19:21:00Z,,,PT8S,380141,21732,232
QZOJ2EbP0Kw,I mean... wizards do like metal 😅 #cat #cuteanimal #cutecat #cute #animals #pets #catvideos,,2025-10-30T20:47:54Z,,,PT12S,276558,21653,492
w4rt1UkUBgk,He's just a medium sized guy wearing a big jacket 😂 #cat #cute #catvideos #cutecat #pets #cats,,2025-10-28T19:43:30Z,,,PT21S,3964596,176067,1842
B2ZFKs05ECY,I should know better than to interrupt his afternoon stairs nap 😅😂 #cat #cute #catvideos #cutecat,,2025-10-26T20:58:15Z,,,PT16S,325526,24223,395
zjKycZPGdjQ,"He looked at them and said ""nah, I'm good"" 😅😂 #cat #cuteanimal #cutecat #cute #catvideos #pets #cats",,2025-10-24T20:20:40Z,,,PT8S,474508,25717,381
oqDkryDQpys,Sometimes you just gotta stop and smell the stinkies 😂 #cat #cutecat #cute #catvideos #pets #cats,,2025-10-22T20:47:03Z,,,PT8S,1311431,43034,373
m5NLnRQA1Mk,I was not in the mood for mind control 😅 #cat #funnycats #cuteanimal #cutecat #cute #catvideos #pets,,2025-10-20T18:05:29Z,,,PT11S,313744,20869,258
auW5krG-RWo,Sometimes he's just so cute I can't help myself 😅 #cat #funnycats #cuteanimal #cute #catvideos #pets,,2025-10-17T21:58:52Z,,,PT10S,2187181,77346,712
UcBcJRyc-NM,"He could have at least told me he was ""just browsing"" 😅 😂 #cat #cute #funny #catvideos #funnycats",,2025-10-15T17:00:47Z,,,PT6S,643421,29896,389
wkDkcPDMrZo,"If anyone tells him, it's straight to the void! #cat #funnycats #cuteanimal #cutecat #cute #cats",,2025-10-13T19:08:49Z,,,PT10S,327271,21220,546
W9j3xcE-p-E,"The Apprentice says ""whoops"" 😅 😂 #cat #cuteanimal #cutecat #funnycats #catvideos #catshorts #pets",,2025-10-08T17:00:44Z,,,PT16S,587457,27920,342
vBaENmpd14g,Phew... that was a close one 😅 #cat #cuteanimal #cutecat #funnycats #cute #catvideos #catshorts #pet,,2025-10-05T17:45:05Z,,,PT17S,442564,24899,503
p_pCsuy_2fM,DJ Apprentice helping me out with the background sounds/vocals 😎 #cat #cutecat #funnycats #cute,,2025-10-01T16:58:06Z,,,PT23S,188444,17856,465
YXTQv2MbU2M,Walter and his last second generosity 😅 #cat #cuteanimal #cutecat #funnycats #catshorts #cute #pets,,2025-09-24T17:01:00Z,,,PT12S,695239,33974,376
OBDrGjLpTR8,His Apprentice is just trying out some new spells 😅 #cat #cuteanimal #cutecat #funnycats #cute #pet,,2025-09-22T17:00:37Z,,,PT9S,408141,22772,364
