channel_id,channel_title,channel_description,published_at,subscriber_count,view_count,video_count,uploads_playlist_id,total_videos_scraped,avg_views,avg_likes,avg_comments,total_views_scraped_videos,total_likes_scraped_videos
UCbGvv6m9qjuZF9_fcljgvzw,Crunchycat,"🪴Welcome ! I’m Luna, a 6 year old girl.  Siblings: Elisa, Steffi, Pablo, Chico.  -If you want to support the channel you can now become a channel member. Support of any kind is much appreciated!  Partnerships: luna@catoffame.com",2021-11-22T10:43:31.212967Z,589000,115594347,560,UUbGvv6m9qjuZF9_fcljgvzw,50,116697.14,10485.46,273.68,5834857,524273
UCbTaoonXlipQ-JsG7lhfKog,The Meow Show,"channel for cat content ❤️   I do not have ownership of the clips . All rights are held by their owners. If you believe your rights have been infringed upon kindly reach out to me via my email (rouar.rucoy@gmail.com). I will promptly remove the content to prevent any copyright strikes, Thank you! ",2022-12-16T13:18:23.472763Z,415000,205245352,91,UUbTaoonXlipQ-JsG7lhfKog,50,2270376.92,151891.8,1242.82,113518846,7594590
UC0X1dp5Gkhos0QJpainsjUA,Princess Nika cat,"Hello, my name is Princess Nika cat!😻 I love making videos to make my viewers laugh💕  📩 cats.mom.pr@gmail.com",2023-11-25T16:52:51.274535Z,10800000,6278111788,80,UU0X1dp5Gkhos0QJpainsjUA,50,84724582.72,1682311.86,3383.2,4236229136,84115593
UC6s-MijPBrcnr55akiKarmQ,Chip The Manx,"Chip is the world's most famous Manx cat, ready to take on any adventure that comes his way! As you'll learn, the Manx breed is known for their smarts and dog-like personalities (AND, no tail!!). Enjoy this channel, filled with hilarious videos of Chip's life. Chip is also making furriends over on TikTok and Instagram - go follow him @chipthemanx! Facebook: Chip The Manx, Instagram: chipthemanx",2021-09-19T20:32:57.827013Z,484000,373055692,1122,UU6s-MijPBrcnr55akiKarmQ,50,20164.66,1246.86,22.44,1008233,62343
UCbWNEXG8GoszgTmJgaPgvnQ,cats101,"Welcome to cats 101 – The Funniest Cat Corner on YouTube! 🐱😂  If you love cats with big personalities, goofy antics, and unexpected chaos, you’re in the right place! Our channel is packed with hilarious cat fails, epic zoomies, dramatic meows, and moments that will make you laugh until you cry.  Subscribe for weekly doses of feline comedy and prepare for nonstop ""pawsome"" entertainment! 🐾🎥😹  Warning: Side effects may include uncontrollable laughter and an irresistible urge to adopt another cat. 😼💕 ",2018-01-24T10:27:35Z,53200,51075766,203,UUbWNEXG8GoszgTmJgaPgvnQ,50,36323.78,653.48,9.26,1816189,32674
UCyIqcxz-vR_o2GK4HWuZL8w,CatPusic Team,"Watching videos of the clever, curious and funny Pusiс will make you happy.  The videos of this cat are creative and unique.   You won't see this anywhere!  For cooperation write on e-mail: catpusic@gmail.com _______________________________________________________________________  Instagram: http://instagram.com/catpusic Facebook: http://facebook.com/catpusic Яндекс-дзень: https://zen.yandex.ru/id/5fe3c1a6fa6fdb0f69c7b305 ",2015-11-13T14:25:37Z,1970000,828472191,320,UUyIqcxz-vR_o2GK4HWuZL8w,50,335144.12,2602.88,269.4,16757206,130144
UCpLQXR116cLVUa1LRY8KS4w,OwlKitty,"Lizzy (stage name: OwlKitty) is a two year-old cat living in Portland, Oregon. She stars in all your favorite movies and tv shows and gets lots of treats and cuddles in return. Offscreen, Lizzy loves her laser pointer, her adoptive mother (a 10 year-old tabby) and the taste of cream cheese. She’s never caught a bird.  So far, OwlKitty has made appearances in such classics as Star Wars, Harry Potter, Jurassic Park, How to Train your Dragon, The Shining, Titanic, 50 Shades of Gray and Risky Business. You can also find her in Game of Thrones, The Lion king and Stranger Things.",2010-03-26T12:17:33Z,2580000,501717927,101,UUpLQXR116cLVUa1LRY8KS4w,50,5618675.78,156738.96,3589.28,280933789,7836948
UCvmijL-eepDVHYSJHDY3d6w,Cole and Marmalade,"We hope you enjoy our videos featuring, Cole, Marmalade, Jugg, ZigZag, Bond, Maz and Calypso!  Contact our humans here: coleandmarmalade@gmail.com",2007-07-19T22:44:22Z,1400000,444960820,477,UUvmijL-eepDVHYSJHDY3d6w,50,51387.82,5173.46,314.86,2569391,258673
UCTIa8uo_aisNdqQpMf4wKTg,DailyDoseOfInternetCats,"🐾Welcome to your Daily Dose of Internet Cats!  😺Your Purrrfect spot for everything cat related!  📭For inquiries please contact →dailydoseofinternetcats@gmail.com  📌I credit all content creators whose videos I feature. I only post videos for which I have either purchased a license or secured permission from the owner! However, if I have accidentally used your material without your consent or if you would like your video removed, I am more than willing to accommodate your request. Contact me directly at dailydoseofinternetcats@gmail.com  📢Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statutes that might otherwise be infringing. Non-profit, educational, or personal use tips the balance in favor of fair use.",2024-05-20T10:26:03.17284Z,1180000,791577211,368,UUTIa8uo_aisNdqQpMf4wKTg,50,744123.96,45104.02,314.3,37206198,2255201
UCv5R_Lzpu-4PopdHiDaH7-A,Chef Cat ChangAn ,"ChangAn, The No.1 Chef In The Cat World! ChangAn Has Been Sharing Delicious Recipes Since 2019! Follow ChangAn To Enjoy The Newest And Hottest Culinary Delights Ahead Of Everyone Else! ",2011-07-13T15:30:28Z,10700000,7242246227,610,UUv5R_Lzpu-4PopdHiDaH7-A,50,348595.5,7104.16,55.34,17429775,355208
